player,team,position,games,goals,assists,points,penalties,pim,plus_minus,shots,toi,goals_per_game,assists_per_game,points_per_game,shots_per_game,toi_per_game
Markus Granlund,Genève-Servette HC,forwarder,58,25,37,62,9,22,13,146,62189,0.431,0.638,1.069,2.517,1072.22
Jesse Puljujärvi,Genève-Servette HC,forwarder,61,24,35,59,9,20,15,201,68651,0.393,0.574,0.967,3.295,1125.43
Matej Stransky,HC Davos,forwarder,53,33,24,57,12,74,35,152,53313,0.623,0.453,1.075,2.868,1005.91
Austin Czarnik,Lausanne HC,forwarder,58,20,34,54,14,30,12,118,65452,0.345,0.586,0.931,2.034,1128.48
Théo Rochette,Lausanne HC,forwarder,54,23,29,52,8,16,15,145,62440,0.426,0.537,0.963,2.685,1156.3
Sakari Manninen,Genève-Servette HC,forwarder,56,17,35,52,13,30,8,116,64536,0.304,0.625,0.929,2.071,1152.43
Denis Malgin,ZSC Lions,forwarder,47,17,33,50,13,30,25,122,53574,0.362,0.702,1.064,2.596,1139.87
Luca Fazzini,HC Lugano,forwarder,57,17,31,48,5,12,1,175,59324,0.298,0.544,0.842,3.07,1040.77
Sven Andrighetto,ZSC Lions,forwarder,44,19,28,47,10,24,18,143,49917,0.432,0.636,1.068,3.25,1134.48
Henrik Borgström,Fribourg-Gottéron,forwarder,57,14,32,46,4,8,17,163,59041,0.246,0.561,0.807,2.86,1035.81
Filip Zadina,HC Davos,forwarder,49,24,21,45,13,78,14,161,49510,0.49,0.429,0.918,3.286,1010.41
Zach Sanford,HC Lugano,forwarder,58,17,28,45,7,18,9,112,63120,0.293,0.483,0.776,1.931,1088.28
Simon Ryfors,HC Davos,forwarder,57,16,28,44,10,24,26,90,55738,0.281,0.491,0.772,1.579,977.86
Vili Saarijärvi,Genève-Servette HC,defender,61,7,37,44,11,44,3,126,74219,0.115,0.607,0.721,2.066,1216.7
Ahti Oksanen,Lausanne HC,forwarder,50,14,29,43,6,14,22,114,50455,0.28,0.58,0.86,2.28,1009.1
Adam Tambellini,HC Davos,forwarder,53,21,21,42,4,31,25,162,50338,0.396,0.396,0.792,3.057,949.77
Christoph Bertschy,Fribourg-Gottéron,forwarder,61,17,25,42,17,36,12,162,65383,0.279,0.41,0.689,2.656,1071.85
Christopher DiDomenico,HC Ambri-Piotta,forwarder,49,10,31,41,11,42,-17,97,51154,0.204,0.633,0.837,1.98,1043.96
Michael Joly,HC Ambri-Piotta,forwarder,54,22,19,41,3,6,-10,145,52873,0.407,0.352,0.759,2.685,979.13
Fabio Hofer,EHC Biel-Bienne,forwarder,54,19,22,41,4,10,1,106,62719,0.352,0.407,0.759,1.963,1161.46
Lias Andersson,EHC Biel-Bienne,forwarder,55,19,22,41,10,20,-11,147,61466,0.345,0.4,0.745,2.673,1117.56
Jimmy Vesey,Genève-Servette HC,forwarder,62,18,23,41,10,24,-1,131,66551,0.29,0.371,0.661,2.113,1073.4
Andre Petersson,SCL Tigers,forwarder,46,24,16,40,6,14,4,130,44037,0.522,0.348,0.87,2.826,957.33
Dominik Kubalik,EV Zug,forwarder,53,23,17,40,11,22,-10,149,57523,0.434,0.321,0.755,2.811,1085.34
Damien Riat,Lausanne HC,forwarder,59,16,23,39,12,26,10,142,61441,0.271,0.39,0.661,2.407,1041.37
Erik Brännström,Lausanne HC,defender,46,18,20,38,14,32,10,164,62774,0.391,0.435,0.826,3.565,1364.65
Rasmus Asplund,HC Davos,forwarder,52,12,26,38,8,16,31,85,52820,0.231,0.5,0.731,1.635,1015.77
Sandro Schmid,Fribourg-Gottéron,forwarder,52,10,28,38,16,36,6,107,57557,0.192,0.538,0.731,2.058,1106.87
Drake Caggiula,Lausanne HC,forwarder,54,20,18,38,9,68,4,137,60824,0.37,0.333,0.704,2.537,1126.37
Jesper Frödén,ZSC Lions,forwarder,56,14,24,38,10,20,6,109,62791,0.25,0.429,0.679,1.946,1121.27
Anttoni Honka,HC Ajoie,defender,57,10,28,38,11,22,-22,174,78739,0.175,0.491,0.667,3.053,1381.39
Gregory Hofmann,EV Zug,forwarder,56,17,20,37,8,20,9,151,58195,0.304,0.357,0.661,2.696,1039.2
Lukas Frick,HC Davos,defender,59,5,32,37,5,10,12,60,69627,0.085,0.542,0.627,1.017,1180.12
Julius Nättinen,HC Ajoie,forwarder,48,21,15,36,3,6,-11,127,57199,0.438,0.312,0.75,2.646,1191.65
Tomas Tatar,EV Zug,forwarder,48,9,27,36,9,41,-1,64,51332,0.188,0.562,0.75,1.333,1069.42
Toni Rajala,EHC Biel-Bienne,forwarder,52,16,20,36,2,4,12,168,55818,0.308,0.385,0.692,3.231,1073.42
Dario Rohrbach,SCL Tigers,forwarder,52,13,22,35,3,6,6,116,53175,0.25,0.423,0.673,2.231,1022.6
Tino Kessler,HC Davos,forwarder,56,16,19,35,6,14,9,94,53395,0.286,0.339,0.625,1.679,953.48
Michael Kapla,Fribourg-Gottéron,defender,61,12,23,35,8,18,10,103,74967,0.197,0.377,0.574,1.689,1228.97
Enzo Corvi,HC Davos,forwarder,37,10,24,34,5,12,23,33,37166,0.27,0.649,0.919,0.892,1004.49
Calvin Thürkauf,HC Lugano,forwarder,53,15,19,34,14,34,1,146,58158,0.283,0.358,0.642,2.755,1097.32
Jacob De la Rose,Fribourg-Gottéron,forwarder,61,21,13,34,10,24,-14,113,68297,0.344,0.213,0.557,1.852,1119.62
Gaëtan Haas,EHC Biel-Bienne,forwarder,54,9,24,33,8,20,12,99,56008,0.167,0.444,0.611,1.833,1037.19
Valentin Nussbaumer,HC Davos,forwarder,56,12,21,33,7,14,17,71,51724,0.214,0.375,0.589,1.268,923.64
Yannick Rathgeb,Fribourg-Gottéron,defender,60,10,23,33,12,28,4,118,67728,0.167,0.383,0.55,1.967,1128.8
Marcus Sörensen,Fribourg-Gottéron,forwarder,32,8,24,32,2,6,7,78,37384,0.25,0.75,1.0,2.438,1168.25
Victor Ejdsell,SC Bern,forwarder,41,14,18,32,10,22,2,135,50076,0.341,0.439,0.78,3.293,1221.37
Jan Kovar,EV Zug,forwarder,56,11,21,32,14,32,-13,74,62299,0.196,0.375,0.571,1.321,1112.48
Rudolfs Balcers,ZSC Lions,forwarder,40,16,15,31,8,20,14,88,41466,0.4,0.375,0.775,2.2,1036.65
Saku Mäenalanen,SCL Tigers,forwarder,48,9,22,31,8,43,6,99,47533,0.188,0.458,0.646,2.062,990.27
Michael Fora,HC Davos,defender,49,7,24,31,12,26,24,79,57599,0.143,0.49,0.633,1.612,1175.49
Alex Formenton,HC Ambri-Piotta,forwarder,48,18,12,30,17,58,-11,111,47573,0.375,0.25,0.625,2.312,991.1
Jason Fuchs,Lausanne HC,forwarder,60,8,22,30,7,16,-11,86,60725,0.133,0.367,0.5,1.433,1012.08
Derek Grant,ZSC Lions,forwarder,36,13,16,29,8,39,8,81,37962,0.361,0.444,0.806,2.25,1054.5
Attilio Biasca,Fribourg-Gottéron,forwarder,50,17,12,29,3,6,19,132,46670,0.34,0.24,0.58,2.64,933.4
Dominic Zwerger,HC Ambri-Piotta,forwarder,55,16,13,29,11,24,-3,80,50919,0.291,0.236,0.527,1.455,925.8
Tim Heed,HC Ambri-Piotta,defender,58,2,27,29,3,6,-24,119,80965,0.034,0.466,0.5,2.052,1395.95
Juuso Riikola,SCL Tigers,defender,36,7,21,28,6,35,-7,101,48273,0.194,0.583,0.778,2.806,1340.92
Harri Pesonen,SCL Tigers,forwarder,46,14,14,28,10,24,-3,115,49561,0.304,0.304,0.609,2.5,1077.41
Waltteri Merelä,SC Bern,forwarder,47,13,15,28,8,16,0,133,55975,0.277,0.319,0.596,2.83,1190.96
Santtu Kinnunen,SCL Tigers,defender,49,6,22,28,7,14,10,118,61848,0.122,0.449,0.571,2.408,1262.2
Dario Meyer,EHC Kloten,forwarder,53,15,13,28,5,12,-2,100,50743,0.283,0.245,0.528,1.887,957.42
Dario Simion,HC Lugano,forwarder,55,15,13,28,4,31,-4,85,54899,0.273,0.236,0.509,1.545,998.16
Connor Carrick,HC Lugano,defender,55,10,18,28,15,80,11,126,56512,0.182,0.327,0.509,2.291,1027.49
David Sklenicka,EV Zug,defender,58,7,21,28,8,43,1,87,75756,0.121,0.362,0.483,1.5,1306.14
Julien Sprunger,Fribourg-Gottéron,forwarder,61,12,16,28,9,22,-3,89,46944,0.197,0.262,0.459,1.459,769.57
Josh Jooris,Genève-Servette HC,forwarder,62,11,17,28,18,52,7,88,62327,0.177,0.274,0.452,1.419,1005.27
Malte Strömwall,SCRJ Lakers,forwarder,38,14,13,27,7,39,6,128,38851,0.368,0.342,0.711,3.368,1022.39
Andreas Wingerli,EV Zug,forwarder,50,14,13,27,9,24,-4,69,54661,0.28,0.26,0.54,1.38,1093.22
Robert Leino,EHC Kloten,forwarder,52,8,19,27,10,20,-11,101,58499,0.154,0.365,0.519,1.942,1124.98
Rodwin Dionicio,EHC Biel-Bienne,defender,52,6,21,27,16,42,5,117,50475,0.115,0.404,0.519,2.25,970.67
Sami Niku,Lausanne HC,defender,57,8,19,27,10,22,10,95,75055,0.14,0.333,0.474,1.667,1316.75
Brendan Lemieux,HC Davos,forwarder,33,14,12,26,13,55,12,65,28095,0.424,0.364,0.788,1.97,851.36
Tyler Moy,SCRJ Lakers,forwarder,37,8,18,26,10,20,0,99,42728,0.216,0.486,0.703,2.676,1154.81
Tyler Morley,EHC Kloten,forwarder,43,12,14,26,7,16,-11,117,46284,0.279,0.326,0.605,2.721,1076.37
Max Lindroth,EHC Kloten,defender,51,10,16,26,8,18,-7,134,67000,0.196,0.314,0.51,2.627,1313.73
Mikko Lehtonen,ZSC Lions,defender,54,7,19,26,8,28,3,120,72530,0.13,0.352,0.481,2.222,1343.15
Lucas Wallmark,Fribourg-Gottéron,forwarder,40,9,16,25,10,28,6,83,43713,0.225,0.4,0.625,2.075,1092.82
Christopher Tierney,HC Ambri-Piotta,forwarder,50,10,15,25,4,8,-15,66,49797,0.2,0.3,0.5,1.32,995.94
Jesse Virtanen,HC Ambri-Piotta,defender,55,7,18,25,15,30,-16,142,75431,0.127,0.327,0.455,2.582,1371.47
Sven Senteler,EV Zug,forwarder,61,14,11,25,5,12,-6,130,59501,0.23,0.18,0.41,2.131,975.43
Hardy Häman Aktell,SC Bern,defender,41,9,15,24,5,22,-3,102,53436,0.22,0.366,0.585,2.488,1303.32
Mike Künzle,EV Zug,forwarder,46,12,12,24,12,30,5,69,41680,0.261,0.261,0.522,1.5,906.09
Axel Simic,EHC Kloten,forwarder,47,11,13,24,9,21,-7,118,46205,0.234,0.277,0.511,2.511,983.09
Petteri Puhakka,EHC Kloten,forwarder,51,10,14,24,7,14,-3,88,57166,0.196,0.275,0.471,1.725,1120.9
Jan Rutta,Genève-Servette HC,defender,51,6,18,24,13,55,18,124,60529,0.118,0.353,0.471,2.431,1186.84
Marc Marchon,SC Bern,forwarder,54,6,18,24,14,61,0,90,53771,0.111,0.333,0.444,1.667,995.76
Hannes Björninen,SCL Tigers,forwarder,41,10,13,23,7,20,5,67,44646,0.244,0.317,0.561,1.634,1088.93
Marcus Sylvegard,EHC Biel-Bienne,forwarder,43,10,13,23,5,10,-18,112,46701,0.233,0.302,0.535,2.605,1086.07
Miro Aaltonen,SC Bern,forwarder,47,6,17,23,8,16,-1,129,54551,0.128,0.362,0.489,2.745,1160.66
Dean Kukan,ZSC Lions,defender,55,4,19,23,7,16,23,96,67907,0.073,0.345,0.418,1.745,1234.67
Tanner Fritz,SCRJ Lakers,forwarder,36,7,15,22,9,41,12,57,39733,0.194,0.417,0.611,1.583,1103.69
Nico Dünner,SCRJ Lakers,forwarder,37,8,14,22,8,18,-2,47,35759,0.216,0.378,0.595,1.27,966.46
Jere Sallinen,EHC Biel-Bienne,forwarder,45,8,14,22,8,18,-10,94,47214,0.178,0.311,0.489,2.089,1049.2
Linus Hultström,EHC Biel-Bienne,defender,50,4,18,22,14,32,-6,144,64583,0.08,0.36,0.44,2.88,1291.66
Willy Riedi,ZSC Lions,forwarder,53,11,11,22,6,14,6,111,46621,0.208,0.208,0.415,2.094,879.64
Julian Schmutz,SCL Tigers,forwarder,53,10,12,22,15,30,2,106,44619,0.189,0.226,0.415,2.0,841.87
Tommaso De Luca,HC Ambri-Piotta,forwarder,56,9,13,22,10,26,-3,95,45609,0.161,0.232,0.393,1.696,814.45
Santeri Alatalo,HC Lugano,defender,56,5,17,22,14,30,-6,130,67365,0.089,0.304,0.393,2.321,1202.95
Yannick Frehner,HC Davos,forwarder,58,15,7,22,2,4,16,74,47931,0.259,0.121,0.379,1.276,826.4
Vincent Praplan,Genève-Servette HC,forwarder,62,9,13,22,6,14,4,87,49756,0.145,0.21,0.355,1.403,802.52
Antti Suomela,Lausanne HC,forwarder,22,6,15,21,2,6,9,51,20128,0.273,0.682,0.955,2.318,914.91
Jerry Turkulainen,HC Ajoie,forwarder,28,6,15,21,4,8,-14,26,30540,0.214,0.536,0.75,0.929,1090.71
Jacob Larsson,SCRJ Lakers,defender,39,7,14,21,7,36,11,80,51940,0.179,0.359,0.538,2.051,1331.79
Gian-Marco Wetter,SCRJ Lakers,forwarder,40,9,12,21,3,6,5,84,38498,0.225,0.3,0.525,2.1,962.45
Pontus Aberg,ZSC Lions,forwarder,42,8,13,21,7,14,5,76,34906,0.19,0.31,0.5,1.81,831.1
Tim Bozon,Genève-Servette HC,forwarder,46,13,8,21,4,31,-7,92,41591,0.283,0.174,0.457,2.0,904.15
Philip-Michael Devos,HC Ajoie,forwarder,47,14,7,21,1,2,-23,48,52836,0.298,0.149,0.447,1.021,1124.17
Jiri Felcman,SCL Tigers,forwarder,53,4,17,21,5,10,-4,64,47461,0.075,0.321,0.396,1.208,895.49
David Aebischer,HC Lugano,defender,58,4,17,21,10,46,12,110,67894,0.069,0.293,0.362,1.897,1170.59
Simon Le Coultre,Genève-Servette HC,defender,62,12,9,21,9,20,-5,123,62281,0.194,0.145,0.339,1.984,1004.53
Brandon Gignac,EHC Kloten,forwarder,26,4,16,20,6,14,2,38,27475,0.154,0.615,0.769,1.462,1056.73
Emil Bemström,SC Bern,forwarder,35,12,8,20,2,4,-9,97,39173,0.343,0.229,0.571,2.771,1119.23
Dominik Kahun,Lausanne HC,forwarder,36,9,11,20,3,6,12,53,35992,0.25,0.306,0.556,1.472,999.78
Romain Loeffel,SC Bern,defender,39,5,15,20,4,8,3,119,52626,0.128,0.385,0.513,3.051,1349.38
Calle Andersson,HC Davos,defender,39,2,18,20,5,10,24,69,43159,0.051,0.462,0.513,1.769,1106.64
Victor Rask,SCRJ Lakers,forwarder,40,9,11,20,1,2,6,81,45095,0.225,0.275,0.5,2.025,1127.38
Lorenzo Canonica,HC Lugano,forwarder,48,13,7,20,8,16,15,57,44712,0.271,0.146,0.417,1.188,931.5
André Heim,HC Ambri-Piotta,forwarder,53,5,15,20,7,14,-5,59,50611,0.094,0.283,0.377,1.113,954.92
Miles Müller,HC Ambri-Piotta,forwarder,55,8,12,20,5,58,-13,67,41606,0.145,0.218,0.364,1.218,756.47
Kyen Sopa,HC Ajoie,forwarder,55,7,13,20,8,18,-11,48,39028,0.127,0.236,0.364,0.873,709.6
Killian Mottet,HC Ajoie,forwarder,58,10,10,20,5,10,-29,98,51885,0.172,0.172,0.345,1.69,894.57
Jiri Sekac,HC Lugano,forwarder,45,7,12,19,10,72,-4,78,43282,0.156,0.267,0.422,1.733,961.82
Simon Knak,HC Davos,forwarder,54,9,10,19,8,39,8,79,46115,0.167,0.185,0.352,1.463,853.98
Manix Landry,HC Ambri-Piotta,forwarder,58,8,11,19,6,12,-9,99,52303,0.138,0.19,0.328,1.707,901.78
Jacob Larsson,SC Rapperswil-Jona Lakers,defender,24,5,13,18,8,20,-1,67,33966,0.208,0.542,0.75,2.792,1415.25
Mike Sgarbossa,HC Lugano,forwarder,27,9,9,18,6,16,-6,43,27137,0.333,0.333,0.667,1.593,1005.07
Mischa Ramel,EHC Kloten,forwarder,49,7,11,18,3,6,-12,78,51427,0.143,0.224,0.367,1.592,1049.53
Mirco Müller,HC Lugano,defender,51,3,15,18,3,8,7,61,62200,0.059,0.294,0.353,1.196,1219.61
Petr Cajka,EHC Biel-Bienne,forwarder,53,10,8,18,7,14,-8,80,50610,0.189,0.151,0.34,1.509,954.91
Keanu Derungs,EHC Kloten,forwarder,54,7,11,18,3,6,-9,81,39845,0.13,0.204,0.333,1.5,737.87
Klas Dahlbeck,HC Davos,defender,57,7,11,18,14,53,27,82,64614,0.123,0.193,0.316,1.439,1133.58
Jeremy Wick,HC Ajoie,forwarder,57,6,12,18,5,33,-31,55,59123,0.105,0.211,0.316,0.965,1037.25
Tyler Moy,SC Rapperswil-Jona Lakers,forwarder,25,6,11,17,3,6,0,51,28086,0.24,0.44,0.68,2.04,1123.44
Jonathan Hazen,HC Ajoie,forwarder,46,10,7,17,6,12,-9,84,46067,0.217,0.152,0.37,1.826,1001.46
Kevin Nicolet,Fribourg-Gottéron,forwarder,56,8,9,17,4,18,0,32,34454,0.143,0.161,0.304,0.571,615.25
Yonas Berthoud,HC Ajoie,defender,56,4,13,17,11,24,-26,65,58081,0.071,0.232,0.304,1.161,1037.16
