player,team,position,games,goals,assists,points,penalties,pim,plus_minus,shots,toi,goals_per_game,assists_per_game,points_per_game,shots_per_game,toi_per_game
Julius Honka,SCRJ Lakers,defender,25,3,8,11,3,37,1,55,25785,0.12,0.32,0.44,2.2,1031.4
Mika Henauer,SCRJ Lakers,defender,29,3,8,11,4,8,2,54,30658,0.103,0.276,0.379,1.862,1057.17
Louis Robin,HC Ajoie,forwarder,42,6,5,11,6,12,-17,49,32554,0.143,0.119,0.262,1.167,775.1
Tristan Scherwey,SC Bern,forwarder,43,2,9,11,12,49,-3,54,38309,0.047,0.209,0.256,1.256,890.91
Jan Dorthe,Fribourg-Gottéron,forwarder,48,6,5,11,6,20,-1,30,28549,0.125,0.104,0.229,0.625,594.77
Leandro Profico,EHC Kloten,defender,50,5,6,11,3,6,-3,40,46015,0.1,0.12,0.22,0.8,920.3
Inaki Baragano,Lausanne HC,defender,51,3,8,11,5,14,11,53,50865,0.059,0.157,0.216,1.039,997.35
Carl Dahlström,HC Lugano,defender,51,1,10,11,3,8,14,56,53387,0.02,0.196,0.216,1.098,1046.8
Joel Salzgeber,SCL Tigers,forwarder,53,2,9,11,17,40,-4,42,40958,0.038,0.17,0.208,0.792,772.79
Giovanni Morini,HC Lugano,forwarder,54,5,6,11,8,16,0,66,39923,0.093,0.111,0.204,1.222,739.31
Aleksi Peltonen,HC Lugano,forwarder,55,5,6,11,3,6,3,51,33750,0.091,0.109,0.2,0.927,613.64
Einar Emanuelsson,HC Lugano,forwarder,27,7,3,10,0,0,8,49,24609,0.259,0.111,0.37,1.815,911.44
Fabian Heldner,Lausanne HC,defender,35,2,8,10,7,37,19,29,35770,0.057,0.229,0.286,0.829,1022.0
Denis Hollenstein,ZSC Lions,forwarder,36,5,5,10,6,14,4,59,29106,0.139,0.139,0.278,1.639,808.5
Kimo Gruber,ZSC Lions,forwarder,38,5,5,10,1,2,2,31,21178,0.132,0.132,0.263,0.816,557.32
Valentin Hofer,SCRJ Lakers,forwarder,39,5,5,10,6,12,-3,42,25628,0.128,0.128,0.256,1.077,657.13
Samuel Erni,SCL Tigers,defender,48,1,9,10,9,18,-1,45,39714,0.021,0.188,0.208,0.938,827.38
Jesse Zgraggen,HC Ambri-Piotta,defender,49,3,7,10,6,35,-8,50,49115,0.061,0.143,0.204,1.02,1002.35
Roger Karrer,Genève-Servette HC,defender,60,3,7,10,14,28,5,44,53905,0.05,0.117,0.167,0.733,898.42
Ty Rattie,Fribourg-Gottéron,forwarder,14,3,6,9,1,2,0,36,13142,0.214,0.429,0.643,2.571,938.71
Tanner Fritz,SC Rapperswil-Jona Lakers,forwarder,22,4,5,9,5,14,8,31,24680,0.182,0.227,0.409,1.409,1121.82
Sandro Zangger,SC Rapperswil-Jona Lakers,forwarder,24,7,2,9,4,10,-3,28,18977,0.292,0.083,0.375,1.167,790.71
Frédérik Gauthier,HC Ajoie,forwarder,29,4,5,9,4,8,-15,39,30749,0.138,0.172,0.31,1.345,1060.31
Inti Pestoni,HC Ambri-Piotta,forwarder,43,4,5,9,6,12,-11,48,29648,0.093,0.116,0.209,1.116,689.49
Rafael Meier,EHC Kloten,forwarder,44,3,6,9,4,10,1,45,23093,0.068,0.136,0.205,1.023,524.84
Lukas Klok,EHC Kloten,defender,45,2,7,9,4,10,-9,48,53018,0.044,0.156,0.2,1.067,1178.18
Matteo Romanenghi,HC Ajoie,forwarder,49,1,8,9,1,4,-14,36,37020,0.02,0.163,0.184,0.735,755.51
Christian Marti,ZSC Lions,defender,49,1,8,9,12,24,16,28,51245,0.02,0.163,0.184,0.571,1045.82
Mats Alge,SC Bern,forwarder,52,7,2,9,2,4,0,47,34963,0.135,0.038,0.173,0.904,672.37
Jeremi Gerber,Fribourg-Gottéron,forwarder,53,3,6,9,4,31,1,36,21636,0.057,0.113,0.17,0.679,408.23
Ramon Tanner,HC Lugano,forwarder,55,3,6,9,8,20,11,39,35796,0.055,0.109,0.164,0.709,650.84
Giancarlo Chanton,Genève-Servette HC,defender,61,4,5,9,11,26,11,58,51457,0.066,0.082,0.148,0.951,843.56
Julius Honka,SC Rapperswil-Jona Lakers,defender,13,3,5,8,1,2,0,35,13717,0.231,0.385,0.615,2.692,1055.15
Philippe Maillet,SCRJ Lakers,forwarder,16,1,7,8,1,2,-9,45,17382,0.062,0.438,0.5,2.812,1086.38
Lino Martschini,EV Zug,forwarder,20,4,4,8,1,2,-10,48,17300,0.2,0.2,0.4,2.4,865.0
Raphael Diaz,EV Zug,defender,21,1,7,8,5,12,10,35,22506,0.048,0.333,0.381,1.667,1071.71
Sandro Zangger,SCRJ Lakers,forwarder,39,4,4,8,6,14,-6,44,30243,0.103,0.103,0.205,1.128,775.46
Alessio Bertaggia,HC Lugano,forwarder,40,2,6,8,6,14,1,44,28426,0.05,0.15,0.2,1.1,710.65
Marco Zanetti,HC Lugano,forwarder,42,2,6,8,2,4,-1,34,27941,0.048,0.143,0.19,0.81,665.26
Raphael Prassl,Lausanne HC,forwarder,42,0,8,8,5,10,8,34,27418,0.0,0.19,0.19,0.81,652.81
Deniss Smirnovs,EHC Kloten,forwarder,44,2,6,8,2,4,-3,43,31321,0.045,0.136,0.182,0.977,711.84
Noah Delémont,EHC Kloten,defender,50,3,5,8,6,14,-15,47,41769,0.06,0.1,0.16,0.94,835.38
Oskars Lapinskis,SCL Tigers,forwarder,52,4,4,8,5,10,-9,38,33901,0.077,0.077,0.154,0.731,651.94
Nathan Vouardoux,Lausanne HC,defender,54,1,7,8,11,24,-5,95,38684,0.019,0.13,0.148,1.759,716.37
Dario Wüthrich,HC Ambri-Piotta,defender,58,1,7,8,5,10,2,44,54735,0.017,0.121,0.138,0.759,943.71
Marco Pedretti,HC Ajoie,forwarder,58,1,7,8,10,22,-23,39,42876,0.017,0.121,0.138,0.672,739.24
Brian Zanetti,HC Lugano,defender,58,1,7,8,6,12,-5,35,33618,0.017,0.121,0.138,0.603,579.62
Livio Stadler,EV Zug,defender,61,0,8,8,1,2,-2,28,60395,0.0,0.131,0.131,0.459,990.08
Lawrence Pilut,SC Rapperswil-Jona Lakers,defender,11,1,6,7,3,6,0,24,14100,0.091,0.545,0.636,2.182,1281.82
Nico Dünner,SC Rapperswil-Jona Lakers,forwarder,16,2,5,7,4,10,-8,16,15929,0.125,0.312,0.438,1.0,995.56
Yannick-Lennart Albrecht,SC Rapperswil-Jona Lakers,forwarder,19,3,4,7,1,2,-2,17,13539,0.158,0.211,0.368,0.895,712.58
Dominic Lammer,SC Rapperswil-Jona Lakers,forwarder,25,4,3,7,6,12,-7,28,22952,0.16,0.12,0.28,1.12,918.08
Matthew Kellenberger,SCRJ Lakers,defender,28,2,5,7,5,10,5,38,22448,0.071,0.179,0.25,1.357,801.71
Elia Riva,EV Zug,defender,33,4,3,7,1,2,-10,45,28133,0.121,0.091,0.212,1.364,852.52
Cole Cormier,HC Ajoie,forwarder,35,3,4,7,4,8,-10,31,20236,0.086,0.114,0.2,0.886,578.17
Robin Grossmann,EHC Biel-Bienne,defender,44,1,6,7,5,12,-4,36,40459,0.023,0.136,0.159,0.818,919.52
Rico Gredig,HC Davos,forwarder,48,3,4,7,8,16,11,30,24975,0.062,0.083,0.146,0.625,520.31
Yanik Burren,EHC Biel-Bienne,defender,48,0,7,7,5,10,-14,48,44376,0.0,0.146,0.146,1.0,924.5
Nils Rhyn,SC Bern,defender,48,0,7,7,6,12,7,37,32506,0.0,0.146,0.146,0.771,677.21
Alain Graf,SC Bern,forwarder,50,6,1,7,4,8,-16,50,44048,0.12,0.02,0.14,1.0,880.96
Luc Bachmann,HC Ambri-Piotta,defender,50,5,2,7,4,8,-2,36,33673,0.1,0.04,0.14,0.72,673.46
Bernd Wolf,EHC Kloten,defender,53,1,6,7,5,10,-11,51,60445,0.019,0.113,0.132,0.962,1140.47
Reto Schäppi,EHC Kloten,forwarder,54,3,4,7,13,30,-1,52,41569,0.056,0.074,0.13,0.963,769.8
Yanick Stampfli,EHC Biel-Bienne,defender,55,3,4,7,3,6,-7,32,48429,0.055,0.073,0.127,0.582,880.53
Jan Schwendeler,ZSC Lions,defender,55,1,6,7,3,6,-3,26,30420,0.018,0.109,0.127,0.473,553.09
Zaccheo Dotti,HC Ambri-Piotta,defender,56,1,6,7,12,49,-6,45,45796,0.018,0.107,0.125,0.804,817.79
Jesper Peltonen,HC Lugano,defender,57,2,5,7,6,37,16,58,55741,0.035,0.088,0.123,1.018,977.91
Dario Trutmann,ZSC Lions,defender,57,1,6,7,6,12,10,44,53278,0.018,0.105,0.123,0.772,934.7
Colin Lindemann,EV Zug,forwarder,58,3,4,7,7,14,0,53,30937,0.052,0.069,0.121,0.914,533.4
Nicklas Jensen,SCRJ Lakers,forwarder,12,4,2,6,2,4,-1,37,11138,0.333,0.167,0.5,3.083,928.17
Juho Lammikko,ZSC Lions,forwarder,12,3,3,6,4,8,-2,19,13816,0.25,0.25,0.5,1.583,1151.33
Lawrence Pilut,SCRJ Lakers,defender,13,1,5,6,0,0,-5,20,15760,0.077,0.385,0.462,1.538,1212.31
Nicklas Jensen,SC Rapperswil-Jona Lakers,forwarder,16,3,3,6,3,10,-1,38,15423,0.188,0.188,0.375,2.375,963.94
Jesse Graham,EV Zug,defender,18,3,3,6,4,13,-1,27,20767,0.167,0.167,0.333,1.5,1153.72
Mika Henauer,SC Rapperswil-Jona Lakers,defender,21,2,4,6,8,41,-9,21,22256,0.095,0.19,0.286,1.0,1059.81
Samuel Guerra,EV Zug,defender,30,0,6,6,5,12,4,23,26490,0.0,0.2,0.2,0.767,883.0
Michael Hügli,Lausanne HC,forwarder,32,2,4,6,4,33,-7,38,19742,0.062,0.125,0.188,1.188,616.94
Isacco Dotti,HC Ambri-Piotta,defender,36,4,2,6,8,16,3,24,21916,0.111,0.056,0.167,0.667,608.78
Marlon Graf,SCRJ Lakers,forwarder,39,4,2,6,12,28,-2,26,20147,0.103,0.051,0.154,0.667,516.59
Tim Mathys,SCL Tigers,defender,42,2,4,6,8,16,3,46,36968,0.048,0.095,0.143,1.095,880.19
Anton Lindholm,SC Bern,defender,42,0,6,6,7,21,9,55,51811,0.0,0.143,0.143,1.31,1233.6
Diego Kostner,HC Ambri-Piotta,forwarder,46,3,3,6,6,16,-7,21,27852,0.065,0.065,0.13,0.457,605.48
