season,round,round_index,team,elo
2025-26,16,16,Moser Medical Graz99ers,1519.53
2025-26,16,16,Olimpija Ljubljana,1597.9
2025-26,16,16,Pioneers Vorarlberg,1394.08
2025-26,16,16,Steinbach Black Wings Linz,1494.74
2025-26,16,16,Vienna Capitals,1473.1
2025-26,17,17,EC Red Bull Salzburg,1500.3
2025-26,17,17,EC iDM Wärmepumpen VSV,1512.13
2025-26,17,17,EC-KAC,1546.0
2025-26,17,17,FTC-Telekom,1447.59
2025-26,17,17,HC Falkensteiner Pustertal,1570.59
2025-26,17,17,HC TIWAG Innsbruck - Die Haie,1430.45
2025-26,17,17,HCB Südtirol Alperia,1568.6
2025-26,17,17,Hydro Fehervar AV 19,1436.63
2025-26,17,17,Moser Medical Graz99ers,1531.26
2025-26,17,17,Olimpija Ljubljana,1583.09
2025-26,17,17,Pioneers Vorarlberg,1408.53
2025-26,17,17,Steinbach Black Wings Linz,1504.38
2025-26,17,17,Vienna Capitals,1460.44
2025-26,18,18,EC Red Bull Salzburg,1500.3
2025-26,18,18,EC iDM Wärmepumpen VSV,1512.13
2025-26,18,18,EC-KAC,1555.5
2025-26,18,18,FTC-Telekom,1457.95
2025-26,18,18,HC Falkensteiner Pustertal,1581.9
2025-26,18,18,HC TIWAG Innsbruck - Die Haie,1439.82
2025-26,18,18,HCB Südtirol Alperia,1554.97
2025-26,18,18,Hydro Fehervar AV 19,1450.26
2025-26,18,18,Moser Medical Graz99ers,1531.26
2025-26,18,18,Olimpija Ljubljana,1571.77
2025-26,18,18,Pioneers Vorarlberg,1399.16
2025-26,18,18,Steinbach Black Wings Linz,1494.88
2025-26,18,18,Vienna Capitals,1450.07
2025-26,19,19,EC Red Bull Salzburg,1487.84
2025-26,19,19,EC iDM Wärmepumpen VSV,1524.25
2025-26,19,19,EC-KAC,1543.39
2025-26,19,19,FTC-Telekom,1441.56
2025-26,19,19,HC Falkensteiner Pustertal,1569.45
2025-26,19,19,HC TIWAG Innsbruck - Die Haie,1430.12
2025-26,19,19,HCB Südtirol Alperia,1541.88
2025-26,19,19,Hydro Fehervar AV 19,1466.65
2025-26,19,19,Moser Medical Graz99ers,1543.72
2025-26,19,19,Olimpija Ljubljana,1584.86
