game_slug,season,team,jersey,name,goals_against,is_captain,is_starter,minutes,save_pct,saves
04012026_loewen-frankfurt_gg_schwenninger-wild-wings_4190,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,2,False,True,59:10,94.44%,34
04012026_loewen-frankfurt_gg_schwenninger-wild-wings_4190,2025-26,Löwen Frankfurt,74,Rodion Schumacher,,False,False,,,
04012026_loewen-frankfurt_gg_schwenninger-wild-wings_4190,2025-26,Schwenninger Wild Wings,60,Joacim Eriksson,1,False,True,60:00,95.24%,20
04012026_loewen-frankfurt_gg_schwenninger-wild-wings_4190,2025-26,Schwenninger Wild Wings,1,Michael Bitzer,,False,False,,,
04012026_pinguins-bremerhaven_gg_iserlohn-roosters_4188,2025-26,Pinguins Bremerhaven,27,Leon Hungerecker,2,False,True,65:00,88.89%,16
04012026_pinguins-bremerhaven_gg_iserlohn-roosters_4188,2025-26,Pinguins Bremerhaven,33,Julius Hudacek,,False,False,,,
04012026_pinguins-bremerhaven_gg_iserlohn-roosters_4188,2025-26,Pinguins Bremerhaven,34,Christopher Strasen,,False,False,,,
04012026_pinguins-bremerhaven_gg_iserlohn-roosters_4188,2025-26,Iserlohn Roosters,92,Andreas Jenike,2,False,True,65:00,93.55%,29
04012026_pinguins-bremerhaven_gg_iserlohn-roosters_4188,2025-26,Iserlohn Roosters,32,Hendrik Hane,,False,False,,,
04032026_adler-mannheim_gg_loewen-frankfurt_4272,2025-26,Adler Mannheim,33,Johan Christer Mattsson,3,False,True,62:00,85.71%,18
04032026_adler-mannheim_gg_loewen-frankfurt_4272,2025-26,Adler Mannheim,56,Maximilian Franzreb,,False,False,,,
04032026_adler-mannheim_gg_loewen-frankfurt_4272,2025-26,Adler Mannheim,72,Kimi Saffran,,False,False,,,
04032026_adler-mannheim_gg_loewen-frankfurt_4272,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,4,False,True,62:00,87.50%,28
04032026_adler-mannheim_gg_loewen-frankfurt_4272,2025-26,Löwen Frankfurt,51,Cody Brenner,,False,False,,,
04032026_dresdner-eisloewen_gg_eisbaeren-berlin_4271,2025-26,Dresdner Eislöwen,62,Janick Schwendener,5,False,True,60:00,83.87%,26
04032026_dresdner-eisloewen_gg_eisbaeren-berlin_4271,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,,False,False,,,
04032026_dresdner-eisloewen_gg_eisbaeren-berlin_4271,2025-26,Eisbären Berlin,1,Jonas Stettmer,2,False,True,60:00,88.89%,16
04032026_dresdner-eisloewen_gg_eisbaeren-berlin_4271,2025-26,Eisbären Berlin,73,Lennart Neiße,,False,False,,,
04032026_iserlohn-roosters_gg_ehc-red-bull-muenchen_4274,2025-26,Iserlohn Roosters,92,Andreas Jenike,4,False,True,60:47,85.71%,24
04032026_iserlohn-roosters_gg_ehc-red-bull-muenchen_4274,2025-26,Iserlohn Roosters,32,Hendrik Hane,,False,False,,,
04032026_iserlohn-roosters_gg_ehc-red-bull-muenchen_4274,2025-26,EHC Red Bull München,30,Antoine Bibeau,3,False,True,60:47,86.36%,19
04032026_iserlohn-roosters_gg_ehc-red-bull-muenchen_4274,2025-26,EHC Red Bull München,35,Mathias Niederberger,,False,False,,,
04032026_iserlohn-roosters_gg_ehc-red-bull-muenchen_4274,2025-26,EHC Red Bull München,25,Simon Wolf,,False,False,,,
04032026_koelner-haie_gg_augsburger-panther_4269,2025-26,Kölner Haie,90,Felix Brückmann,2,False,True,60:00,88.89%,16
04032026_koelner-haie_gg_augsburger-panther_4269,2025-26,Kölner Haie,45,Tobias Ancicka,,False,False,,,
04032026_koelner-haie_gg_augsburger-panther_4269,2025-26,Augsburger Panther,41,Peyton Jones,6,False,True,60:00,81.82%,27
04032026_koelner-haie_gg_augsburger-panther_4269,2025-26,Augsburger Panther,3,Markus Keller,,False,False,,,
04042026_eisbaeren-berlin_gg_straubing-tigers_4362,2025-26,Eisbären Berlin,1,Jonas Stettmer,5,False,True,76:30,86.11%,31
04042026_eisbaeren-berlin_gg_straubing-tigers_4362,2025-26,Eisbären Berlin,30,Jake Hildebrand,,False,False,,,
04042026_eisbaeren-berlin_gg_straubing-tigers_4362,2025-26,Eisbären Berlin,73,Lennart Neiße,,False,False,,,
