player,team,goals,assists,points,penalties,pim
Schnetzer Ramon,Pioneers Vorarlberg,4,14,18,16,36
Osmanski Austin Michael,HC Falkensteiner Pustertal,1,17,18,20,72
Collins Sean Brendan,Steinbach Black Wings Linz,7,10,17,2,6
Wallner Leon,Vienna Capitals,7,10,17,3,6
Halbert Nathanael,Olimpija Ljubljana,4,13,17,17,47
Teves Joshua,EC-KAC,7,9,16,3,6
Stephens Devante,EC Red Bull Salzburg,5,11,16,7,14
Lattner Jan,HC TIWAG Innsbruck - Die Haie,4,12,16,8,28
Zanatta Luca,HC Falkensteiner Pustertal,4,12,16,6,12
Gregorc Blaz,Olimpija Ljubljana,2,14,16,9,18
Kirichenko Clayton,Olimpija Ljubljana,1,15,16,6,14
Mihalik András,FTC-Telekom,8,7,15,9,20
Antonen Joose,FTC-Telekom,7,8,15,4,12
Hora Frank,Moser Medical Graz99ers,6,9,15,8,26
Kulmala Rasmus,Hydro Fehervar AV 19,6,9,15,0,0
Witting Marcel,HC TIWAG Innsbruck - Die Haie,5,10,15,7,14
Neubauer Henrik,Steinbach Black Wings Linz,4,11,15,8,16
Maxa Felix,EC iDM Wärmepumpen VSV,4,11,15,5,13
Lobis Alan,HC Falkensteiner Pustertal,4,11,15,3,6
Maier David,EC-KAC,3,12,15,9,39
Rauchenwald Alexander,EC iDM Wärmepumpen VSV,3,12,15,5,12
Katic Mark,EC iDM Wärmepumpen VSV,3,11,14,3,6
Horvath Donat,Hydro Fehervar AV 19,2,12,14,5,12
Lewington Tyler James,EC Red Bull Salzburg,1,13,14,18,116
Auvitu Yohann,Steinbach Black Wings Linz,1,13,14,2,4
Misley Bryce Gianni Alcock,HCB Südtirol Alperia,9,4,13,7,22
Sofron Istvan,FTC-Telekom,6,7,13,3,6
Lanzinger Benjamin,Vienna Capitals,5,8,13,0,0
Nogier Nelson,Vienna Capitals,4,9,13,12,26
Sablattnig Tobias,EC-KAC,2,11,13,12,26
Obersteiner Daniel,EC-KAC,1,12,13,1,2
Mantinger Matthias,HC Falkensteiner Pustertal,8,4,12,7,14
Pusnik Julian,Steinbach Black Wings Linz,7,5,12,11,27
Gaffal Stefan,Steinbach Black Wings Linz,6,6,12,5,10
Harnisch Tim Luca,Moser Medical Graz99ers,4,8,12,7,16
Würschl Niklas Andre,Steinbach Black Wings Linz,4,8,12,7,14
Bericic Miha,Olimpija Ljubljana,4,8,12,5,10
Rappold Kilian,HC TIWAG Innsbruck - Die Haie,4,8,12,5,10
Steffler Devin,HC TIWAG Innsbruck - Die Haie,4,8,12,5,10
Campbell Timothy,Hydro Fehervar AV 19,3,9,12,9,18
Kotkansalo Kasper,Moser Medical Graz99ers,3,9,12,3,6
Kapel Rok,Olimpija Ljubljana,5,6,11,3,6
Bukarts Roberts,Pioneers Vorarlberg,5,6,11,2,4
Holzer Korbinian,Moser Medical Graz99ers,3,8,11,17,51
Hackl Dominic,Vienna Capitals,2,9,11,9,41
Seed Jason,HCB Südtirol Alperia,2,9,11,8,16
Moberg Cole,HC TIWAG Innsbruck - Die Haie,1,10,11,9,20
Almquist Adam John,HC Falkensteiner Pustertal,1,10,11,3,8
Burke Nathan,Pioneers Vorarlberg,6,4,10,6,35
Koschek Felix,Vienna Capitals,6,4,10,2,4
Mcclure Brad,HCB Südtirol Alperia,6,4,10,1,2
Tschofen Marlon,Pioneers Vorarlberg,5,5,10,13,28
Hochegger Fabian,EC-KAC,5,5,10,7,14
Tóth Gergely,FTC-Telekom,4,6,10,9,20
Preiml Maximilian,EC-KAC,3,7,10,7,20
Söllinger Patrick,Steinbach Black Wings Linz,3,7,10,8,20
Maver Luka,Steinbach Black Wings Linz,3,7,10,4,8
Valentine Scott,HCB Südtirol Alperia,1,9,10,15,44
Terbocs Istvan,Hydro Fehervar AV 19,5,4,9,6,16
Murray Jordan,EC-KAC,4,5,9,4,13
Waschnig David,EC-KAC,4,5,9,1,2
Strong Steven,EC iDM Wärmepumpen VSV,3,6,9,16,40
Laskawy Ferenc,FTC-Telekom,3,6,9,7,16
Mehle Ziga,Olimpija Ljubljana,3,6,9,6,14
Feldner Nico,Moser Medical Graz99ers,3,6,9,4,8
Sodja Jaka,Olimpija Ljubljana,3,6,9,2,4
Reini Julius,Pioneers Vorarlberg,2,7,9,14,36
Mackinnon Ryan,Steinbach Black Wings Linz,2,7,9,7,20
Barberio Mark,HCB Südtirol Alperia,2,7,9,5,12
Kosmachuk Scott,Vienna Capitals,2,7,9,4,12
Moyle Nolan,EC-KAC,2,7,9,4,12
Stipsicz Bence,Hydro Fehervar AV 19,1,8,9,7,14
Ebner Mario,HC TIWAG Innsbruck - Die Haie,0,9,9,10,22
Kainz Lukas,Moser Medical Graz99ers,7,1,8,10,20
Erne Luca,Pioneers Vorarlberg,5,3,8,4,35
Oschgan Jonathan,Steinbach Black Wings Linz,5,3,8,4,8
Budgell Brett,EC iDM Wärmepumpen VSV,4,4,8,3,6
Glira Daniel,HC Falkensteiner Pustertal,3,5,8,14,38
Kristler Andreas,Steinbach Black Wings Linz,3,5,8,12,26
Kromp Christof,Vienna Capitals,3,5,8,8,21
Kernberger Michael,Pioneers Vorarlberg,3,5,8,6,17
Vallant Thomas,EC iDM Wärmepumpen VSV,2,6,8,12,49
Brunner Nico,Moser Medical Graz99ers,2,6,8,4,8
Frank Daniel,HCB Südtirol Alperia,1,7,8,6,20
Klassek Stefan,HC TIWAG Innsbruck - Die Haie,6,1,7,1,2
Antonitsch Sam,Vienna Capitals,5,2,7,11,28
Sintschnig Paul,EC iDM Wärmepumpen VSV,5,2,7,2,4
Brunner Pascal,HCB Südtirol Alperia,4,3,7,8,16
Teasdale Joël,EC iDM Wärmepumpen VSV,4,3,7,0,0
Nemeth Kristof,Hydro Fehervar AV 19,3,4,7,14,40
Tyni Paavo,FTC-Telekom,3,4,7,6,12
Mihaly Akos,Hydro Fehervar AV 19,3,4,7,3,9
Bär Lukas,HC TIWAG Innsbruck - Die Haie,2,5,7,7,40
Marchetti Michele,HCB Südtirol Alperia,2,5,7,6,18
Allen Roni,Pioneers Vorarlberg,1,6,7,11,24
Kulda Arturs,EC iDM Wärmepumpen VSV,1,6,7,6,14
Miglioranzi Enrico,HCB Südtirol Alperia,1,6,7,6,12
Macpherson Dylan,EC iDM Wärmepumpen VSV,0,7,7,0,0
Rymsha Drake Ko,Hydro Fehervar AV 19,4,2,6,5,14
Conley Kevin Michael,Moser Medical Graz99ers,4,2,6,0,0
MacWilliam Andrew,Olimpija Ljubljana,3,3,6,11,32
Gennaro Matteo Vittorio,HCB Südtirol Alperia,3,3,6,3,6
Varga Balazs,Hydro Fehervar AV 19,3,3,6,3,6
Moro Greg,Steinbach Black Wings Linz,2,4,6,10,24
Auer Luca,EC Red Bull Salzburg,2,4,6,6,15
Andergassen Raphael,HC Falkensteiner Pustertal,2,4,6,4,8
Diperna Dylan,HCB Südtirol Alperia,1,5,6,6,12
Wimmer Philipp,EC Red Bull Salzburg,1,5,6,5,12
Bukovec Maks,Olimpija Ljubljana,1,5,6,2,4
Kragl Gerd,Steinbach Black Wings Linz,1,5,6,2,4
Trépanier Maxim,FTC-Telekom,1,5,6,1,2
Moosbrugger Lenz,Moser Medical Graz99ers,0,6,6,4,31
Woger Daniel,Pioneers Vorarlberg,3,2,5,5,10
Dobrovolny Johannes,EC-KAC,3,2,5,4,8
Kotkansalo Kasper Aleksanteri,Moser Medical Graz99ers,1,4,5,3,8
Theirich Maximilian,Vienna Capitals,1,4,5,0,0
Hadobás Zétény,FTC-Telekom,0,5,5,9,18
Cairns Matthew Ronald,HCB Südtirol Alperia,0,5,5,7,16
Hudec Marek,FTC-Telekom,0,5,5,5,10
Summer Aron,Pioneers Vorarlberg,0,5,5,5,10
Lindner Luis,Steinbach Black Wings Linz,0,5,5,4,8
Schreier Lukas,EC Red Bull Salzburg,0,5,5,3,8
Zündel Kilian,Moser Medical Graz99ers,3,1,4,4,8
Gomboc Luka,EC-KAC,3,1,4,3,6
Korecky Ivan,Pioneers Vorarlberg,2,2,4,11,28
Deluca Ivan,HC Falkensteiner Pustertal,2,2,4,3,6
Hörl Lukas,EC Red Bull Salzburg,2,2,4,2,4
Peeters Senna,Vienna Capitals,2,2,4,0,0
Kraus Nikolaus,EC Red Bull Salzburg,1,3,4,15,82
Mattyasovszki Gergely,FTC-Telekom,1,3,4,5,20
Molnár Dávid,FTC-Telekom,1,3,4,9,20
Metzler Julian,Pioneers Vorarlberg,1,3,4,5,15
Uschan Nico Massimo,EC iDM Wärmepumpen VSV,1,3,4,5,10
