game_id,season_id,date,home_team,away_team,score,round,venue,spectators,away_pim,away_pp_pct,away_pp_time,away_save_pct,away_saves,away_score,away_shots,away_team_short,home_pim,home_pp_pct,home_pp_time,home_save_pct,home_saves,home_score,home_shots,home_team_short,periods,periods_detail
1004419,18263,2025-10-02 19:00,Brynäs IF,Timrå IK,5-2,,Monitor ERP Arena,7278,4,"50,00%",05:00,"10,53",32,2,19,TIK,25,"0,00%",04:00,"13,51",17,5,37,BIF,"(3-0, 0-2, 2-0)","3-0, 0-2, 2-0"
1004421,18263,2025-10-02 19:00,,Färjestad BK,2-0,,Husqvarna Garden,6705,10,"0,00%",06:00,"0,00",17,0,41,FBK,6,"40,00%",08:32,"10,53",41,2,19,HV71,"(2-0, 0-0, 0-0)","2-0, 0-0, 0-0"
1004422,18263,2025-10-02 19:00,Luleå HF,Linköping HC,0-2,,Coop Norrbotten Arena,6150,6,"0,00%",02:30,"12,50",28,2,16,LHC,6,"0,00%",04:00,"0,00",14,0,28,LHF,"(0-1, 0-1, 0-0)","0-1, 0-1, 0-0"
1004424,18263,2025-10-02 19:00,IF Malmö Redhawks,Örebro HK,3-2,,Malmö Arena,5857,29,"0,00%",06:00,"4,88",29,2,41,ÖHK,8,"50,00%",07:00,"9,38",39,3,32,MIF,"(3-1, 0-1, 0-0)","3-1, 0-1, 0-0"
1004426,18263,2025-10-02 19:00,Djurgårdens IF,Rögle BK,3-5,,"Hovet, Johanneshov",8094,4,"50,00%",02:35,"19,23",19,5,26,RBK,4,"50,00%",03:34,"13,64",21,3,22,DIF,"(2-2, 1-1, 0-2)","2-2, 1-1, 0-2"
1004428,18263,2025-10-02 19:00,Skellefteå AIK,Frölunda HC,2-3,,Skellefteå Kraft Arena,4211,10,"50,00%",02:49,"13,04",29,3,23,FRÖ,4,"20,00%",09:34,"6,45",20,2,31,SKE,"(0-1, 0-2, 2-0)","0-1, 0-2, 2-0"
1004430,18263,2025-10-02 19:00,Växjö Lakers HC,Leksands IF,3-0,,Vida Arena,4371,6,"0,00%",02:00,"0,00",14,0,13,LIF,4,"50,00%",02:53,"17,65",13,3,17,VÄX,"(1-0, 0-0, 2-0)","1-0, 0-0, 2-0"
1004437,18263,2025-10-04 15:15,Frölunda HC,Leksands IF,1-2,,Scandinavium,12044,6,,,"11,76",31,2,17,LIF,0,,,"3,12",15,1,32,FRÖ,"(0-1, 0-1, 1-0)","0-1, 0-1, 1-0"
1004439,18263,2025-10-04 15:15,LHC,HV71,4-1,,Saab Arena,7900,4,"0,00%",08:41,"3,03",15,1,33,HV71,12,"100,00%",00:28,"21,05",32,4,19,LHC,"(2-0, 0-1, 2-0)","2-0, 0-1, 2-0"
1004441,18263,2025-10-04 15:15,Djurgårdens IF,IF Malmö Redhawks,5-3,,"Hovet, Johanneshov",8094,12,"100,00%",01:23,"13,04",19,3,23,MIF,2,"40,00%",08:37,"20,83",20,5,24,DIF,"(1-2, 3-0, 1-1)","1-2, 3-0, 1-1"
