team,player,goals,assists,points,penalties,pim
TIK,"Hardegård, Marcus",2.0,17.0,19.0,8.0,16.0
FBK,"Kellman, Joel",10.0,8.0,18.0,6.0,12.0
FBK,"Steen, Oskar",7.0,11.0,18.0,9.0,18.0
FBK,"Nygren, Magnus",6.0,12.0,18.0,11.0,22.0
DIF,"Josefson, Jacob",6.0,12.0,18.0,7.0,14.0
HV,"Heponiemi, Aleksi",6.0,12.0,18.0,2.0,4.0
FRÖ,"Weissbach, Linus",5.0,13.0,18.0,1.0,2.0
RBK,"De Haan, Calvin",3.0,15.0,18.0,13.0,47.0
BIF,"Ölund, Linus",8.0,9.0,17.0,8.0,37.0
BIF,"Jonsson-Fjällby, Axel",7.0,10.0,17.0,7.0,14.0
BIF,"Andersson, Axel",7.0,10.0,17.0,5.0,10.0
VÄX,"Ågren, Manuel",6.0,11.0,17.0,6.0,20.0
LIF,"Stevens, Nolan",6.0,11.0,17.0,8.0,16.0
DIF,"Björck, Viggo",6.0,11.0,17.0,6.0,12.0
LIF,"Johansson, Anton",5.0,12.0,17.0,14.0,49.0
MIF,"Viro, Eemil",5.0,12.0,17.0,12.0,24.0
MIF,"Vesterheim, Petter",5.0,12.0,17.0,4.0,8.0
MIF,"Barton, Seth",4.0,13.0,17.0,9.0,18.0
VÄX,"Sahlin Wallenius, Leo",4.0,13.0,17.0,7.0,14.0
BIF,"Kempny, Michal",7.0,9.0,16.0,9.0,18.0
RBK,"Johansson, Filip",7.0,9.0,16.0,6.0,12.0
TIK,"Heikkinen, Anton",7.0,9.0,16.0,3.0,6.0
ÖHK,"Turunen, Teemu",7.0,9.0,16.0,3.0,6.0
LIF,"Fortier, Gabriel",6.0,10.0,16.0,8.0,34.0
RBK,"Bengtsson, Anton",6.0,10.0,16.0,9.0,18.0
TIK,"Walli Walterholm, Erik",5.0,11.0,16.0,13.0,47.0
RBK,"Friedman, Mark",4.0,12.0,16.0,17.0,94.0
FRÖ,"Thorell, Erik",4.0,12.0,16.0,0.0,0.0
HV,"Hansson, Niklas",1.0,15.0,16.0,11.0,22.0
LHC,"Martin, Max",0.0,16.0,16.0,14.0,28.0
LHF,"Tardif, Ben",11.0,4.0,15.0,3.0,6.0
LHF,"Koivistoinen, Eetu",9.0,6.0,15.0,7.0,53.0
LIF,"Lang, Oskar",8.0,7.0,15.0,9.0,39.0
VÄX,"Suomi, Eemeli",7.0,8.0,15.0,11.0,43.0
FBK,"Berglund, Jack",7.0,8.0,15.0,14.0,28.0
LHF,"Shinnimin, Brendan",6.0,9.0,15.0,17.0,55.0
DIF,"Lindström, Gustav",5.0,10.0,15.0,14.0,28.0
BIF,"Norlinder, Mattias",5.0,10.0,15.0,5.0,28.0
DIF,"Krüger, Marcus",5.0,10.0,15.0,4.0,8.0
BIF,"Hägg, Robert",4.0,11.0,15.0,22.0,62.0
TIK,"Strömberg, Didrik",3.0,12.0,15.0,19.0,38.0
RBK,"Dickinson, Josh",9.0,5.0,14.0,11.0,22.0
LIF,"Koblar, Tinus",8.0,6.0,14.0,12.0,24.0
FRÖ,"Hasa, Noah",7.0,7.0,14.0,5.0,10.0
ÖHK,"Mastomäki, Christopher",6.0,8.0,14.0,16.0,53.0
DIF,"Holm, Philip",5.0,9.0,14.0,11.0,22.0
