game_id,season_id,created_at,report_name
1004594,18263,2025-11-01 13:25:37,Official Team Roster
1004594,18263,2025-11-01 17:31:42,Official Game Report
1004594,18263,2025-11-01 17:31:43,Media Game Summary
1004598,18263,2025-11-01 16:31:48,Official Line Up
1004598,18263,2025-11-01 16:31:49,Official Team Roster
1004598,18263,2025-11-01 21:19:47,Official Game Report
1004598,18263,2025-11-01 21:19:48,Media Game Summary
1004600,18263,2025-11-01 16:13:31,Official Line Up
1004600,18263,2025-11-01 16:13:31,Official Team Roster
1004600,18263,2025-11-12 16:42:00,Official Game Report
1004600,18263,2025-11-12 16:42:01,Media Game Summary
1004601,18263,2025-11-01 17:20:36,Official Line Up
1004601,18263,2025-11-01 17:20:37,Official Team Roster
1004601,18263,2025-11-01 20:17:16,Official Game Report
1004601,18263,2025-11-01 20:17:17,Media Game Summary
1004609,18263,2025-11-13 17:03:14,Official Line Up
1004609,18263,2025-11-13 17:03:14,Official Team Roster
1004609,18263,2025-11-18 15:39:34,Official Game Report
1004609,18263,2025-11-18 15:39:35,Media Game Summary
1004611,18263,2025-11-13 17:34:29,Official Line Up
1004611,18263,2025-11-13 17:34:30,Official Team Roster
1004611,18263,2025-11-13 21:45:36,Official Game Report
1004611,18263,2025-11-13 21:45:38,Media Game Summary
1004613,18263,2025-11-13 17:16:05,Official Line Up
1004613,18263,2025-11-13 17:16:06,Official Team Roster
1004613,18263,2025-11-13 21:25:57,Official Game Report
1004613,18263,2025-11-13 21:25:59,Media Game Summary
1004614,18263,2025-11-13 18:22:57,Official Line Up
1004614,18263,2025-11-13 18:22:58,Official Team Roster
1004614,18263,2025-11-13 21:36:16,Official Game Report
1004614,18263,2025-11-13 21:36:17,Media Game Summary
1004617,18263,2025-11-13 17:12:11,Official Line Up
1004617,18263,2025-11-13 17:12:12,Official Team Roster
1004617,18263,2025-11-13 21:40:03,Official Game Report
1004617,18263,2025-11-13 21:40:04,Media Game Summary
1004618,18263,2025-11-13 17:28:42,Official Line Up
1004618,18263,2025-11-13 17:28:43,Official Team Roster
1004618,18263,2025-11-13 21:23:48,Official Game Report
1004618,18263,2025-11-13 21:23:49,Media Game Summary
1004621,18263,2025-11-13 17:11:38,Official Line Up
1004621,18263,2025-11-13 17:11:38,Official Team Roster
