player,team,goals,assists,penalties,pim,points
ŠEDIVÝ Eduard,HC Košice,0.0,21.0,0.0,0.0,21.0
BONDRA Radovan,Slovan Bratislava,9.0,11.0,0.0,0.0,20.0
HAVRILA Matúš,HC Košice,9.0,11.0,0.0,0.0,20.0
KOSTENKO Dmitrii,HK Nitra,5.0,15.0,0.0,0.0,20.0
BARTOŠ Antonín,HC Košice,0.0,20.0,0.0,0.0,20.0
VANKÚŠ Marek,HK 32 Liptovský Mikuláš,12.0,7.0,0.0,0.0,19.0
LUNTER Mário,HC Košice,11.0,8.0,0.0,0.0,19.0
ZIGO Tomáš,HC MONACObet B.Bystrica,10.0,9.0,0.0,0.0,19.0
NESPALA Jakub,HK 32 Liptovský Mikuláš,9.0,10.0,0.0,0.0,19.0
AHL Filip Calle,HK Dukla Trenčín,7.0,12.0,0.0,0.0,19.0
MAJDAN Juraj,HK Poprad,7.0,12.0,0.0,0.0,19.0
GACHULINEC Daniel,Vlci Žilina,6.0,13.0,0.0,0.0,19.0
ŠIŠKA Juraj,HK Dukla Trenčín,6.0,13.0,0.0,0.0,19.0
RAPUZZI William Charles,HC Prešov,11.0,7.0,0.0,0.0,18.0
REPČÍK Peter,HC Košice,7.0,11.0,0.0,0.0,18.0
BERGER Carter Bruce Robert,HKM Zvolen,6.0,12.0,0.0,0.0,18.0
SAFARALEEV Igor,HK Dukla Michalovce,5.0,13.0,0.0,0.0,18.0
DIAKOV Kirill,Vlci Žilina,3.0,15.0,0.0,0.0,18.0
MILLER Brenden Thomas Kevin,Vlci Žilina,3.0,15.0,0.0,0.0,18.0
ŽIAK Adam,HK Spišská Nová Ves,3.0,15.0,0.0,0.0,18.0
FARREN Michael,HK 32 Liptovský Mikuláš,8.0,9.0,0.0,0.0,17.0
SUCHÝ Markus,HK Poprad,8.0,9.0,0.0,0.0,17.0
VALIGURA Adrián,HC Prešov,8.0,9.0,0.0,0.0,17.0
ROCKWOOD Adam,HC Prešov,6.0,11.0,0.0,0.0,17.0
VAŠAŠ Filip,Vlci Žilina,12.0,4.0,0.0,0.0,16.0
BUČEK Samuel,HK Nitra,9.0,7.0,0.0,0.0,16.0
GIĽÁK Matej,HK Spišská Nová Ves,8.0,8.0,0.0,0.0,16.0
INDRASIS Miks,HC Prešov,7.0,9.0,0.0,0.0,16.0
BAKOŠ Martin,Slovan Bratislava,6.0,10.0,0.0,0.0,16.0
BEZÚCH Juraj,HK Dukla Trenčín,6.0,10.0,0.0,0.0,16.0
NEMEC Adam,HK Nitra,3.0,12.0,0.0,0.0,15.0
GRAHAM Jesse,HK Nitra,2.0,13.0,0.0,0.0,15.0
REWAY Martin,HK 32 Liptovský Mikuláš,1.0,14.0,0.0,0.0,15.0
LAPŠANSKÝ Adam,HK Dukla Trenčín,11.0,3.0,0.0,0.0,14.0
LAFERRIERE - MAILFAIT Mathias Alan Theo,HK Spišská Nová Ves,9.0,5.0,0.0,0.0,14.0
KOSMACHUK Scott Austin,Vlci Žilina,7.0,7.0,0.0,0.0,14.0
OKOLIČÁNY Dávid,HK Nitra,7.0,7.0,0.0,0.0,14.0
TKÁČ Daniel Vladimír,Vlci Žilina,7.0,7.0,0.0,0.0,14.0
