title,date,home_team,away_team,score,home_score,away_score,period_scores,meta_line,match_id,url,error
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-26,"Hokejový klub DUKLA Trenčín, a.s.",Presov Hockey a.s.,3 : 1,3,1,2:0 | 1:1 | 0:0,"15. kolo, Číslo zápasu",153105,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153105/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-26,"VLCI ŽILINA, a.s.","HC ‘05 BANSKÁ BYSTRICA, a.s.",4 : 3 pp,4,3,1:1 | 0:0 | 2:2 | 1:0,"15. kolo, Číslo zápasu",153106,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153106/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-31,Hokejový klub Poprad a.s.,"VLCI ŽILINA, a.s.",5 : 2,5,2,1:1 | 1:0 | 3:1,"16. kolo, Číslo zápasu",153107,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153107/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-31,"HC ‘05 BANSKÁ BYSTRICA, a.s.","Hokejový klub DUKLA Trenčín, a.s.",4 : 0,4,0,0:0 | 3:0 | 1:0,"16. kolo, Číslo zápasu",153108,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153108/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-31,"HC SLOVAN Bratislava, a.s.",Presov Hockey a.s.,5 : 3,5,3,0:0 | 3:0 | 2:3,"16. kolo, Číslo zápasu",153109,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153109/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-31,HKM a.s,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 2,3,2,1:0 | 1:0 | 1:2,"16. kolo, Číslo zápasu",153110,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153110/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-31,"HK Nitra, s.r.o.",Hokejový klub Dukla Ingema Michalovce,2 : 5,2,5,1:2 | 1:1 | 0:2,"16. kolo, Číslo zápasu",153111,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153111/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-31,"HK Rysy, s.r.o.",HC Košice s.r.o.,1 : 2 sn,1,2,1:1 | 0:0 | 0:0 | 0:0,"16. kolo, Číslo zápasu",153112,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153112/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-02,"HK Rysy, s.r.o.",Hokejový klub Poprad a.s.,4 : 2,4,2,0:2 | 2:0 | 2:0,"17. kolo, Číslo zápasu",153113,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153113/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-02,HC Košice s.r.o.,"HK Nitra, s.r.o.",0 : 5,0,5,0:2 | 0:2 | 0:1,"17. kolo, Číslo zápasu",153114,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153114/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-02,Hokejový klub Dukla Ingema Michalovce,HKM a.s,1 : 5,1,5,0:1 | 1:2 | 0:2,"17. kolo, Číslo zápasu",153115,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153115/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-02,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Presov Hockey a.s.,5 : 6 pp,5,6,2:1 | 2:1 | 1:3 | 0:1,"17. kolo, Číslo zápasu",153116,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153116/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-02,"HC SLOVAN Bratislava, a.s.","HC ‘05 BANSKÁ BYSTRICA, a.s.",4 : 3,4,3,1:0 | 1:1 | 2:2,"17. kolo, Číslo zápasu",153117,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153117/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-02,"Hokejový klub DUKLA Trenčín, a.s.","VLCI ŽILINA, a.s.",4 : 5,4,5,0:2 | 2:2 | 2:1,"17. kolo, Číslo zápasu",153118,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153118/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-14,Hokejový klub Poprad a.s.,"Hokejový klub DUKLA Trenčín, a.s.",4 : 0,4,0,0:0 | 2:0 | 2:0,"18. kolo, Číslo zápasu",153119,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153119/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-25,"VLCI ŽILINA, a.s.","HC SLOVAN Bratislava, a.s.",1 : 3,1,3,0:0 | 0:0 | 1:3,"18. kolo, Číslo zápasu",153120,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153120/PlayByPlay,
