match_id,date,round,venue,attendance,home_team,away_team,score,home_goals,away_goals,periods,goal_count,penalty_count,goalie_change_count,unclassified_event_count,url,error
153183,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HK Rysy, s.r.o.",3 : 2 pp,3,2,0:1 | 1:0 | 1:1 | 1:0,5,17,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153183/Overview,
153184,,,,,Hokejový klub Dukla Ingema Michalovce,HC Košice s.r.o.,5 : 2,5,2,3:1 | 2:0 | 0:1,8,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153184/Overview,
153185,,,,,HKM a.s,"HC SLOVAN Bratislava, a.s.",1 : 4,1,4,1:1 | 0:1 | 0:2,5,10,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153185/Overview,
153186,,,,,"HK Nitra, s.r.o.","Hokejový klub DUKLA Trenčín, a.s.",2 : 4,2,4,0:0 | 2:2 | 0:2,7,10,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153186/Overview,
153187,,,,,"VLCI ŽILINA, a.s.","HC ‘05 BANSKÁ BYSTRICA, a.s.",5 : 4 sn,5,4,0:4 | 3:0 | 1:0 | 0:0,10,15,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153187/Overview,
153188,,,,,Hokejový klub Poprad a.s.,HC Košice s.r.o.,7 : 1,7,1,3:1 | 3:0 | 1:0,8,8,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153188/Overview,
153189,,,,,"HK Rysy, s.r.o.",Hokejový klub Dukla Ingema Michalovce,5 : 0,5,0,1:0 | 0:0 | 4:0,5,12,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153189/Overview,
153190,,,,,Presov Hockey a.s.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",0 : 3,0,3,0:1 | 0:0 | 0:2,3,5,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153190/Overview,
153191,,,,,"VLCI ŽILINA, a.s.",HKM a.s,3 : 0,3,0,2:0 | 0:0 | 1:0,3,4,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153191/Overview,
153192,,,,,"Hokejový klub DUKLA Trenčín, a.s.","HC ‘05 BANSKÁ BYSTRICA, a.s.",2 : 3,2,3,0:0 | 1:1 | 1:2,5,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153192/Overview,
153193,,,,,"HC SLOVAN Bratislava, a.s.","HK Nitra, s.r.o.",2 : 3,2,3,1:1 | 0:1 | 1:1,5,2,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153193/Overview,
153194,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Hokejový klub Poprad a.s.,3 : 7,3,7,0:0 | 0:5 | 3:2,11,23,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153194/Overview,
153195,,,,,Hokejový klub Dukla Ingema Michalovce,Presov Hockey a.s.,7 : 0,7,0,1:0 | 3:0 | 3:0,8,7,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153195/Overview,
153196,,,,,HC Košice s.r.o.,"HK Rysy, s.r.o.",2 : 0,2,0,0:0 | 1:0 | 1:0,2,7,10,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153196/Overview,
153197,,,,,HKM a.s,"HK Nitra, s.r.o.",0 : 5,0,5,0:0 | 0:3 | 0:2,5,4,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153197/Overview,
153198,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.","HC SLOVAN Bratislava, a.s.",5 : 0,5,0,2:0 | 3:0 | 0:0,6,13,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153198/Overview,
153199,,,,,"VLCI ŽILINA, a.s.","Hokejový klub DUKLA Trenčín, a.s.",4 : 2,4,2,0:1 | 3:0 | 1:1,6,7,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153199/Overview,
153200,,,,,Hokejový klub Poprad a.s.,"HK Rysy, s.r.o.",7 : 2,7,2,2:1 | 4:0 | 1:1,10,4,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153200/Overview,
153201,,,,,Presov Hockey a.s.,HC Košice s.r.o.,2 : 1 pp,2,1,0:0 | 1:1 | 0:0 | 1:0,3,5,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153201/Overview,
153202,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Hokejový klub Dukla Ingema Michalovce,2 : 6,2,6,1:3 | 1:1 | 0:2,8,11,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153202/Overview,
153203,,,,,"Hokejový klub DUKLA Trenčín, a.s.",HKM a.s,3 : 4 pp,3,4,2:2 | 1:1 | 0:0 | 0:1,7,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153203/Overview,
153204,,,,,"VLCI ŽILINA, a.s.","HC SLOVAN Bratislava, a.s.",2 : 6,2,6,0:3 | 0:1 | 2:2,9,13,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153204/Overview,
153205,,,,,"HK Nitra, s.r.o.","HC ‘05 BANSKÁ BYSTRICA, a.s.",2 : 3 pp,2,3,0:1 | 2:0 | 0:1 | 0:1,5,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153205/Overview,
153206,,,,,Hokejový klub Dukla Ingema Michalovce,Hokejový klub Poprad a.s.,2 : 5,2,5,0:1 | 0:1 | 2:3,7,10,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153206/Overview,
153207,,,,,HC Košice s.r.o.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",4 : 3,4,3,2:2 | 1:1 | 1:0,7,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153207/Overview,
153208,,,,,"HK Rysy, s.r.o.",Presov Hockey a.s.,3 : 0,3,0,1:0 | 2:0 | 0:0,3,5,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153208/Overview,
153209,,,,,HKM a.s,"HC ‘05 BANSKÁ BYSTRICA, a.s.",2 : 5,2,5,1:2 | 1:2 | 0:1,7,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153209/Overview,
153210,,,,,"HK Nitra, s.r.o.","VLCI ŽILINA, a.s.",4 : 1,4,1,1:1 | 0:0 | 3:0,5,7,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153210/Overview,
153211,,,,,"HC SLOVAN Bratislava, a.s.","Hokejový klub DUKLA Trenčín, a.s.",2 : 1,2,1,0:0 | 1:0 | 1:1,3,6,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153211/Overview,
153212,,,,,Presov Hockey a.s.,Hokejový klub Poprad a.s.,2 : 5,2,5,1:3 | 1:1 | 0:1,7,5,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153212/Overview,
153213,,,,,"HK Rysy, s.r.o.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",2 : 4,2,4,1:1 | 0:0 | 1:3,6,5,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153213/Overview,
153214,,,,,HC Košice s.r.o.,Hokejový klub Dukla Ingema Michalovce,1 : 0,1,0,0:0 | 1:0 | 0:0,1,5,10,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153214/Overview,
153215,,,,,"HC SLOVAN Bratislava, a.s.",HKM a.s,6 : 2,6,2,2:0 | 1:2 | 3:0,8,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153215/Overview,
153216,,,,,"Hokejový klub DUKLA Trenčín, a.s.","HK Nitra, s.r.o.",3 : 2 pp,3,2,1:0 | 1:1 | 0:1 | 1:0,5,3,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153216/Overview,
153217,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.","VLCI ŽILINA, a.s.",3 : 2,3,2,0:0 | 2:2 | 1:0,5,10,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153217/Overview,
153218,,,,,HC Košice s.r.o.,Hokejový klub Poprad a.s.,2 : 0,2,0,2:0 | 0:0 | 0:0,2,19,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153218/Overview,
153219,,,,,Hokejový klub Dukla Ingema Michalovce,"HK Rysy, s.r.o.",4 : 2,4,2,1:1 | 2:0 | 1:1,6,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153219/Overview,
153220,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Presov Hockey a.s.,5 : 2,5,2,1:0 | 2:2 | 2:0,7,5,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153220/Overview,
153221,,,,,HKM a.s,"VLCI ŽILINA, a.s.",3 : 4,3,4,2:1 | 0:2 | 1:1,7,4,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153221/Overview,
153222,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.","Hokejový klub DUKLA Trenčín, a.s.",4 : 3 pp,4,3,1:2 | 0:1 | 2:0 | 1:0,7,2,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153222/Overview,
153223,,,,,"HK Nitra, s.r.o.","HC SLOVAN Bratislava, a.s.",5 : 4 sn,5,4,0:1 | 4:0 | 0:3 | 0:0,9,15,10,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153223/Overview,
