season,round,round_index,team,elo
2025-26,R 16,16,EHC Red Bull München,1477.79
2025-26,R 16,16,ERC Ingolstadt,1536.59
2025-26,R 16,16,Eisbären Berlin,1504.67
2025-26,R 16,16,Grizzlys Wolfsburg,1508.22
2025-26,R 16,16,Iserlohn Roosters,1448.53
2025-26,R 16,16,Kölner Haie,1513.63
2025-26,R 16,16,Löwen Frankfurt,1446.15
2025-26,R 16,16,Nürnberg Ice Tigers,1463.81
2025-26,R 16,16,Pinguins Bremerhaven,1527.78
2025-26,R 16,16,Schwenninger Wild Wings,1497.67
2025-26,R 16,16,Straubing Tigers,1567.92
2025-26,R 17,17,Adler Mannheim,1587.31
2025-26,R 17,17,Augsburger Panther,1506.26
2025-26,R 17,17,Dresdner Eislöwen,1404.09
2025-26,R 17,17,EHC Red Bull München,1477.79
2025-26,R 17,17,ERC Ingolstadt,1536.59
2025-26,R 17,17,Eisbären Berlin,1504.67
2025-26,R 17,17,Grizzlys Wolfsburg,1508.22
2025-26,R 17,17,Iserlohn Roosters,1448.53
2025-26,R 17,17,Kölner Haie,1523.18
2025-26,R 17,17,Löwen Frankfurt,1446.15
2025-26,R 17,17,Nürnberg Ice Tigers,1463.81
2025-26,R 17,17,Pinguins Bremerhaven,1527.78
2025-26,R 17,17,Schwenninger Wild Wings,1497.67
2025-26,R 17,17,Straubing Tigers,1567.92
2025-26,R 18,18,Adler Mannheim,1570.63
2025-26,R 18,18,Augsburger Panther,1516.88
2025-26,R 18,18,Dresdner Eislöwen,1404.09
2025-26,R 18,18,EHC Red Bull München,1466.89
2025-26,R 18,18,ERC Ingolstadt,1547.24
2025-26,R 18,18,Eisbären Berlin,1514.77
2025-26,R 18,18,Grizzlys Wolfsburg,1498.12
2025-26,R 18,18,Iserlohn Roosters,1441.56
2025-26,R 18,18,Kölner Haie,1523.18
2025-26,R 18,18,Löwen Frankfurt,1457.06
2025-26,R 18,18,Nürnberg Ice Tigers,1453.16
2025-26,R 18,18,Pinguins Bremerhaven,1517.17
2025-26,R 18,18,Schwenninger Wild Wings,1514.35
2025-26,R 18,18,Straubing Tigers,1574.9
2025-26,R 19,19,Adler Mannheim,1579.08
2025-26,R 19,19,Augsburger Panther,1525.75
2025-26,R 19,19,Dresdner Eislöwen,1395.88
2025-26,R 19,19,EHC Red Bull München,1475.1
2025-26,R 19,19,ERC Ingolstadt,1547.24
2025-26,R 19,19,Eisbären Berlin,1522.7
2025-26,R 19,19,Grizzlys Wolfsburg,1489.67
2025-26,R 19,19,Iserlohn Roosters,1433.63
2025-26,R 19,19,Kölner Haie,1538.73
2025-26,R 19,19,Löwen Frankfurt,1448.19
2025-26,R 19,19,Nürnberg Ice Tigers,1464.99
2025-26,R 19,19,Pinguins Bremerhaven,1505.34
2025-26,R 19,19,Schwenninger Wild Wings,1514.35
2025-26,R 19,19,Straubing Tigers,1559.35
2025-26,R 20,20,Adler Mannheim,1579.08
2025-26,R 20,20,Augsburger Panther,1525.75
2025-26,R 20,20,Dresdner Eislöwen,1395.88
2025-26,R 20,20,EHC Red Bull München,1486.46
2025-26,R 20,20,ERC Ingolstadt,1547.24
2025-26,R 20,20,Eisbären Berlin,1511.34
2025-26,R 20,20,Grizzlys Wolfsburg,1489.67
2025-26,R 20,20,Iserlohn Roosters,1433.63
2025-26,R 20,20,Kölner Haie,1538.73
2025-26,R 20,20,Löwen Frankfurt,1448.19
2025-26,R 20,20,Nürnberg Ice Tigers,1464.99
2025-26,R 20,20,Pinguins Bremerhaven,1505.34
2025-26,R 20,20,Schwenninger Wild Wings,1514.35
2025-26,R 20,20,Straubing Tigers,1559.35
2025-26,R 21,21,Adler Mannheim,1591.12
2025-26,R 21,21,Augsburger Panther,1525.75
2025-26,R 21,21,Dresdner Eislöwen,1390.14
2025-26,R 21,21,EHC Red Bull München,1486.46
2025-26,R 21,21,ERC Ingolstadt,1547.24
2025-26,R 21,21,Eisbären Berlin,1511.34
2025-26,R 21,21,Grizzlys Wolfsburg,1498.67
2025-26,R 21,21,Iserlohn Roosters,1424.63
2025-26,R 21,21,Kölner Haie,1526.69
2025-26,R 21,21,Löwen Frankfurt,1466.43
2025-26,R 21,21,Nürnberg Ice Tigers,1453.34
2025-26,R 21,21,Pinguins Bremerhaven,1487.1
2025-26,R 21,21,Schwenninger Wild Wings,1525.99
2025-26,R 21,21,Straubing Tigers,1565.09
2025-26,R 22,22,Adler Mannheim,1591.12
2025-26,R 22,22,Augsburger Panther,1535.34
2025-26,R 22,22,Dresdner Eislöwen,1390.14
2025-26,R 22,22,EHC Red Bull München,1486.46
2025-26,R 22,22,ERC Ingolstadt,1547.24
2025-26,R 22,22,Eisbären Berlin,1501.75
2025-26,R 22,22,Grizzlys Wolfsburg,1498.67
2025-26,R 22,22,Iserlohn Roosters,1424.63
2025-26,R 22,22,Kölner Haie,1526.69
2025-26,R 22,22,Löwen Frankfurt,1466.43
2025-26,R 22,22,Nürnberg Ice Tigers,1453.34
2025-26,R 22,22,Pinguins Bremerhaven,1487.1
2025-26,R 22,22,Schwenninger Wild Wings,1525.99
2025-26,R 22,22,Straubing Tigers,1565.09
2025-26,R 23,23,Adler Mannheim,1575.82
2025-26,R 23,23,Augsburger Panther,1535.34
2025-26,R 23,23,Dresdner Eislöwen,1382.48
2025-26,R 23,23,EHC Red Bull München,1497.59
2025-26,R 23,23,ERC Ingolstadt,1562.54
2025-26,R 23,23,Eisbären Berlin,1501.75
2025-26,R 23,23,Grizzlys Wolfsburg,1483.35
2025-26,R 23,23,Iserlohn Roosters,1415.46
2025-26,R 23,23,Kölner Haie,1541.13
2025-26,R 23,23,Löwen Frankfurt,1451.99
2025-26,R 23,23,Nürnberg Ice Tigers,1462.52
2025-26,R 23,23,Pinguins Bremerhaven,1494.76
2025-26,R 23,23,Schwenninger Wild Wings,1514.86
2025-26,R 23,23,Straubing Tigers,1580.41
2025-26,R 24,24,Adler Mannheim,1575.82
2025-26,R 24,24,Augsburger Panther,1520.15
2025-26,R 24,24,Dresdner Eislöwen,1382.48
2025-26,R 24,24,EHC Red Bull München,1487.18
2025-26,R 24,24,ERC Ingolstadt,1562.54
2025-26,R 24,24,Eisbären Berlin,1501.75
2025-26,R 24,24,Grizzlys Wolfsburg,1493.76
2025-26,R 24,24,Iserlohn Roosters,1408.67
2025-26,R 24,24,Kölner Haie,1547.92
2025-26,R 24,24,Löwen Frankfurt,1451.99
2025-26,R 24,24,Nürnberg Ice Tigers,1462.52
2025-26,R 24,24,Pinguins Bremerhaven,1509.95
2025-26,R 24,24,Schwenninger Wild Wings,1514.86
2025-26,R 24,24,Straubing Tigers,1580.41
2025-26,R 25,25,Adler Mannheim,1563.72
2025-26,R 25,25,Augsburger Panther,1520.15
2025-26,R 25,25,Dresdner Eislöwen,1370.46
2025-26,R 25,25,EHC Red Bull München,1487.18
2025-26,R 25,25,ERC Ingolstadt,1562.54
2025-26,R 25,25,Eisbären Berlin,1513.85
2025-26,R 25,25,Grizzlys Wolfsburg,1493.76
2025-26,R 25,25,Iserlohn Roosters,1408.67
2025-26,R 25,25,Kölner Haie,1547.92
2025-26,R 25,25,Löwen Frankfurt,1437.69
2025-26,R 25,25,Nürnberg Ice Tigers,1474.53
2025-26,R 25,25,Pinguins Bremerhaven,1509.95
2025-26,R 25,25,Schwenninger Wild Wings,1529.16
2025-26,R 25,25,Straubing Tigers,1580.41
2025-26,R 26,26,Adler Mannheim,1563.72
2025-26,R 26,26,Augsburger Panther,1505.41
2025-26,R 26,26,Dresdner Eislöwen,1370.46
2025-26,R 26,26,EHC Red Bull München,1487.18
2025-26,R 26,26,ERC Ingolstadt,1562.54
2025-26,R 26,26,Eisbären Berlin,1513.85
2025-26,R 26,26,Grizzlys Wolfsburg,1508.5
2025-26,R 26,26,Iserlohn Roosters,1401.51
2025-26,R 26,26,Kölner Haie,1547.92
2025-26,R 26,26,Löwen Frankfurt,1437.69
2025-26,R 26,26,Nürnberg Ice Tigers,1474.53
2025-26,R 26,26,Pinguins Bremerhaven,1517.12
2025-26,R 26,26,Schwenninger Wild Wings,1529.16
2025-26,R 26,26,Straubing Tigers,1580.41
2025-26,R 27,27,Adler Mannheim,1544.79
2025-26,R 27,27,Augsburger Panther,1505.41
2025-26,R 27,27,Dresdner Eislöwen,1382.37
2025-26,R 27,27,EHC Red Bull München,1506.11
2025-26,R 27,27,ERC Ingolstadt,1582.33
2025-26,R 27,27,Eisbären Berlin,1524.29
2025-26,R 27,27,Grizzlys Wolfsburg,1508.5
2025-26,R 27,27,Iserlohn Roosters,1401.51
2025-26,R 27,27,Kölner Haie,1528.13
2025-26,R 27,27,Löwen Frankfurt,1425.77
2025-26,R 27,27,Nürnberg Ice Tigers,1467.15
2025-26,R 27,27,Pinguins Bremerhaven,1517.12
2025-26,R 27,27,Schwenninger Wild Wings,1518.72
2025-26,R 27,27,Straubing Tigers,1587.8
2025-26,R 28,28,Adler Mannheim,1544.79
2025-26,R 28,28,Augsburger Panther,1505.41
2025-26,R 28,28,Dresdner Eislöwen,1382.37
2025-26,R 28,28,EHC Red Bull München,1506.11
2025-26,R 28,28,ERC Ingolstadt,1582.33
2025-26,R 28,28,Eisbären Berlin,1524.29
2025-26,R 28,28,Grizzlys Wolfsburg,1495.51
2025-26,R 28,28,Iserlohn Roosters,1414.49
2025-26,R 28,28,Kölner Haie,1528.13
2025-26,R 28,28,Löwen Frankfurt,1425.77
2025-26,R 28,28,Nürnberg Ice Tigers,1467.15
2025-26,R 28,28,Pinguins Bremerhaven,1517.12
2025-26,R 28,28,Schwenninger Wild Wings,1518.72
2025-26,R 28,28,Straubing Tigers,1587.8
2025-26,R 29,29,Adler Mannheim,1531.85
2025-26,R 29,29,Augsburger Panther,1522.02
2025-26,R 29,29,Dresdner Eislöwen,1374.69
2025-26,R 29,29,EHC Red Bull München,1517.67
2025-26,R 29,29,ERC Ingolstadt,1582.33
2025-26,R 29,29,Eisbären Berlin,1510.19
2025-26,R 29,29,Grizzlys Wolfsburg,1495.51
2025-26,R 29,29,Iserlohn Roosters,1414.49
2025-26,R 29,29,Kölner Haie,1516.57
2025-26,R 29,29,Löwen Frankfurt,1425.77
2025-26,R 29,29,Nürnberg Ice Tigers,1480.09
2025-26,R 29,29,Pinguins Bremerhaven,1531.22
2025-26,R 29,29,Schwenninger Wild Wings,1502.11
2025-26,R 29,29,Straubing Tigers,1595.49
2025-26,R 30,30,Adler Mannheim,1531.85
2025-26,R 30,30,Augsburger Panther,1522.02
2025-26,R 30,30,Dresdner Eislöwen,1374.69
2025-26,R 30,30,EHC Red Bull München,1504.43
2025-26,R 30,30,ERC Ingolstadt,1582.33
2025-26,R 30,30,Eisbären Berlin,1510.19
2025-26,R 30,30,Grizzlys Wolfsburg,1495.51
2025-26,R 30,30,Iserlohn Roosters,1414.49
2025-26,R 30,30,Kölner Haie,1516.57
2025-26,R 30,30,Löwen Frankfurt,1425.77
2025-26,R 30,30,Nürnberg Ice Tigers,1480.09
2025-26,R 30,30,Pinguins Bremerhaven,1544.46
2025-26,R 30,30,Schwenninger Wild Wings,1502.11
2025-26,R 30,30,Straubing Tigers,1595.49
2025-26,R 31,31,Adler Mannheim,1518.89
2025-26,R 31,31,Augsburger Panther,1508.29
2025-26,R 31,31,Dresdner Eislöwen,1367.95
2025-26,R 31,31,EHC Red Bull München,1504.43
2025-26,R 31,31,ERC Ingolstadt,1582.33
2025-26,R 31,31,Eisbären Berlin,1519.32
2025-26,R 31,31,Grizzlys Wolfsburg,1486.12
2025-26,R 31,31,Iserlohn Roosters,1414.49
2025-26,R 31,31,Kölner Haie,1525.96
2025-26,R 31,31,Löwen Frankfurt,1438.74
2025-26,R 31,31,Nürnberg Ice Tigers,1470.96
2025-26,R 31,31,Pinguins Bremerhaven,1544.46
2025-26,R 31,31,Schwenninger Wild Wings,1508.85
2025-26,R 31,31,Straubing Tigers,1609.21
2025-26,R 32,32,Adler Mannheim,1528.69
2025-26,R 32,32,Augsburger Panther,1495.99
2025-26,R 32,32,Dresdner Eislöwen,1358.35
2025-26,R 32,32,EHC Red Bull München,1516.78
2025-26,R 32,32,ERC Ingolstadt,1594.63
2025-26,R 32,32,Eisbären Berlin,1527.51
2025-26,R 32,32,Grizzlys Wolfsburg,1476.31
2025-26,R 32,32,Iserlohn Roosters,1404.72
2025-26,R 32,32,Kölner Haie,1535.56
2025-26,R 32,32,Löwen Frankfurt,1430.55
2025-26,R 32,32,Nürnberg Ice Tigers,1458.61
2025-26,R 32,32,Pinguins Bremerhaven,1535.76
2025-26,R 32,32,Schwenninger Wild Wings,1518.62
2025-26,R 32,32,Straubing Tigers,1617.92
2025-26,R 33,33,Adler Mannheim,1528.69
2025-26,R 33,33,Augsburger Panther,1495.99
2025-26,R 33,33,Dresdner Eislöwen,1372.66
2025-26,R 33,33,EHC Red Bull München,1516.78
2025-26,R 33,33,ERC Ingolstadt,1594.63
2025-26,R 33,33,Eisbären Berlin,1527.51
