player,team,goals,assists,points,penalties,pim
Jonas Taibel,SCRJ Lakers,6,8,14,2,4
Dario Bürgler,HC Ambri-Piotta,5,9,14,7,14
Mark Sever,EHC Biel-Bienne,5,9,14,6,14
Patrik Nemeth,Fribourg-Gottéron,4,10,14,11,70
Mika Henauer,SCRJ Lakers,4,10,14,10,43
Sven Jung,HC Davos,3,11,14,13,32
Nando Eggenberger,EV Zug,3,11,14,5,12
Mike Sgarbossa,SC Bern,3,11,14,2,4
Andrea Glauser,Fribourg-Gottéron,2,12,14,10,24
Valentin Hofer,SCRJ Lakers,7,6,13,5,10
Benjamin Bougro,Lausanne HC,7,6,13,2,6
Noah Rod,Genève-Servette HC,6,7,13,12,82
Jonah Neuenschwander,EHC Biel-Bienne,6,7,13,2,4
Samuel Walser,Fribourg-Gottéron,5,8,13,13,32
Dario Allenspach,SCL Tigers,5,8,13,6,12
Yannick-Lennart Albrecht,SCRJ Lakers,5,8,13,3,6
Marco Müller,SC Bern,4,9,13,4,8
Ludvig Johnson,Fribourg-Gottéron,3,10,13,8,41
Dave Sutter,Genève-Servette HC,3,10,13,5,18
Tobias Geisser,EV Zug,3,10,13,7,16
Yannick Zehnder,Lausanne HC,3,10,13,7,14
Lukas Bengtsson,EV Zug,3,10,13,3,8
Davyd Barandun,HC Davos,1,12,13,9,18
Noah Meier,SCL Tigers,1,12,13,3,6
Ramon Untersander,SC Bern,5,7,12,7,14
Joël Vermin,SC Bern,5,7,12,5,12
Fabrice Herzog,EV Zug,5,7,12,3,6
Keijo Weibel,EHC Kloten,5,7,12,0,0
Vinzenz Rohrer,ZSC Lions,4,8,12,11,47
Brendan Perlini,HC Lugano,4,8,12,7,45
Julius Honka,SCRJ Lakers,4,8,12,3,37
Aleksandr Iakovenko,SC Bern,3,9,12,4,8
Aurélien Marti,Lausanne HC,1,11,12,22,65
Pierre-Edouard Bellemare,HC Ajoie,1,11,12,10,20
Thierry Bader,ZSC Lions,1,11,12,4,8
Miro Zryd,EHC Biel-Bienne,0,12,12,13,26
Ken Jäger,Lausanne HC,7,4,11,8,39
Jan Dorthe,Fribourg-Gottéron,6,5,11,6,20
Justin Sigrist,ZSC Lions,6,5,11,6,14
Louis Robin,HC Ajoie,6,5,11,6,12
Giovanni Morini,HC Lugano,5,6,11,8,16
Tyler Moy,SC Rapperswil-Jona Lakers,5,6,11,6,12
Aleksi Peltonen,HC Lugano,5,6,11,3,6
Leandro Profico,EHC Kloten,5,6,11,3,6
Jacob Larsson,SC Rapperswil-Jona Lakers,4,7,11,4,8
Linus Omark,HC Lugano,4,7,11,4,8
Chris Egli,HC Davos,3,8,11,6,17
Inaki Baragano,Lausanne HC,3,8,11,5,14
Erik Brannström,Lausanne HC,3,8,11,4,12
Kyle Rau,Fribourg-Gottéron,3,8,11,2,4
Tristan Scherwey,SC Bern,2,9,11,12,49
Joel Salzgeber,SCL Tigers,2,9,11,17,40
Marcus Sylvegaard,EHC Biel-Bienne,2,9,11,2,4
Carl Dahlström,HC Lugano,1,10,11,3,8
Einar Emanuelsson,HC Lugano,7,3,10,0,0
Matthew Verboon,Genève-Servette HC,6,4,10,9,22
Denis Hollenstein,ZSC Lions,5,5,10,6,14
Kimo Gruber,ZSC Lions,5,5,10,1,2
Jesse Zgraggen,HC Ambri-Piotta,3,7,10,6,35
