season,round,round_index,team,elo
2025-26,R 16,16,HC Dynamo Pardubice,1526.89
2025-26,R 16,16,HC Energie Karlovy Vary,1493.67
2025-26,R 16,16,HC Kometa Brno,1507.69
2025-26,R 16,16,HC Oceláři Třinec,1547.57
2025-26,R 16,16,HC Olomouc,1508.81
2025-26,R 16,16,HC Sparta Praha,1484.24
2025-26,R 16,16,HC VERVA Litvínov,1425.59
2025-26,R 16,16,HC VÍTKOVICE RIDERA,1515.97
2025-26,R 16,16,HC Škoda Plzeň,1537.0
2025-26,R 16,16,Mountfield HK,1495.84
2025-26,R 16,16,Rytíři Kladno,1443.96
2025-26,R 16,16,Č. Budějovice,1555.45
2025-26,R 17,17,BK Mladá Boleslav,1449.8
2025-26,R 17,17,Bílí Tygři Liberec,1489.6
2025-26,R 17,17,HC Dynamo Pardubice,1538.83
2025-26,R 17,17,HC Energie Karlovy Vary,1484.59
2025-26,R 17,17,HC Kometa Brno,1517.72
2025-26,R 17,17,HC Oceláři Třinec,1556.65
2025-26,R 17,17,HC Olomouc,1498.78
2025-26,R 17,17,HC Sparta Praha,1472.3
2025-26,R 17,17,HC VERVA Litvínov,1415.27
2025-26,R 17,17,HC VÍTKOVICE RIDERA,1515.97
2025-26,R 17,17,HC Škoda Plzeň,1537.0
2025-26,R 17,17,Mountfield HK,1504.77
2025-26,R 17,17,Rytíři Kladno,1454.28
2025-26,R 17,17,Č. Budějovice,1564.42
2025-26,R 18,18,BK Mladá Boleslav,1459.93
2025-26,R 18,18,Bílí Tygři Liberec,1500.96
2025-26,R 18,18,HC Dynamo Pardubice,1527.85
2025-26,R 18,18,HC Energie Karlovy Vary,1472.16
2025-26,R 18,18,HC Kometa Brno,1527.17
2025-26,R 18,18,HC Oceláři Třinec,1565.58
2025-26,R 18,18,HC Olomouc,1489.84
2025-26,R 18,18,HC Sparta Praha,1485.58
2025-26,R 18,18,HC VERVA Litvínov,1405.82
2025-26,R 18,18,HC VÍTKOVICE RIDERA,1528.41
2025-26,R 18,18,HC Škoda Plzeň,1525.64
2025-26,R 18,18,Mountfield HK,1515.75
2025-26,R 18,18,Rytíři Kladno,1444.15
2025-26,R 18,18,Č. Budějovice,1551.14
2025-26,R 19,19,BK Mladá Boleslav,1459.93
2025-26,R 19,19,Bílí Tygři Liberec,1500.96
2025-26,R 19,19,HC Dynamo Pardubice,1527.85
2025-26,R 19,19,HC Energie Karlovy Vary,1472.16
2025-26,R 19,19,HC Kometa Brno,1527.17
2025-26,R 19,19,HC Oceláři Třinec,1565.58
2025-26,R 19,19,HC Olomouc,1489.84
2025-26,R 19,19,HC Sparta Praha,1485.58
2025-26,R 19,19,HC VERVA Litvínov,1393.64
2025-26,R 19,19,HC VÍTKOVICE RIDERA,1540.59
2025-26,R 19,19,HC Škoda Plzeň,1525.64
2025-26,R 19,19,Mountfield HK,1515.75
2025-26,R 19,19,Rytíři Kladno,1444.15
2025-26,R 19,19,Č. Budějovice,1551.14
2025-26,R 20,20,BK Mladá Boleslav,1459.93
2025-26,R 20,20,Bílí Tygři Liberec,1500.96
2025-26,R 20,20,HC Dynamo Pardubice,1527.85
2025-26,R 20,20,HC Energie Karlovy Vary,1472.16
2025-26,R 20,20,HC Kometa Brno,1527.17
2025-26,R 20,20,HC Oceláři Třinec,1565.58
2025-26,R 20,20,HC Olomouc,1500.87
2025-26,R 20,20,HC Sparta Praha,1485.58
2025-26,R 20,20,HC VERVA Litvínov,1393.64
2025-26,R 20,20,HC VÍTKOVICE RIDERA,1540.59
2025-26,R 20,20,HC Škoda Plzeň,1514.62
2025-26,R 20,20,Mountfield HK,1515.75
2025-26,R 20,20,Rytíři Kladno,1444.15
2025-26,R 20,20,Č. Budějovice,1551.14
2025-26,R 21,21,BK Mladá Boleslav,1475.95
2025-26,R 21,21,Bílí Tygři Liberec,1520.03
2025-26,R 21,21,HC Dynamo Pardubice,1508.78
2025-26,R 21,21,HC Energie Karlovy Vary,1482.57
2025-26,R 21,21,HC Kometa Brno,1511.15
2025-26,R 21,21,HC Oceláři Třinec,1565.58
2025-26,R 21,21,HC Olomouc,1500.87
2025-26,R 21,21,HC Sparta Praha,1485.58
2025-26,R 21,21,HC VERVA Litvínov,1383.23
2025-26,R 21,21,HC VÍTKOVICE RIDERA,1527.22
2025-26,R 21,21,HC Škoda Plzeň,1514.62
2025-26,R 21,21,Mountfield HK,1515.75
2025-26,R 21,21,Rytíři Kladno,1457.53
2025-26,R 21,21,Č. Budějovice,1551.14
2025-26,R 22,22,BK Mladá Boleslav,1466.15
2025-26,R 22,22,Bílí Tygři Liberec,1511.33
2025-26,R 22,22,HC Dynamo Pardubice,1518.59
2025-26,R 22,22,HC Energie Karlovy Vary,1472.25
2025-26,R 22,22,HC Kometa Brno,1496.44
2025-26,R 22,22,HC Oceláři Třinec,1574.28
2025-26,R 22,22,HC Olomouc,1511.19
2025-26,R 22,22,HC Sparta Praha,1500.29
2025-26,R 22,22,HC VERVA Litvínov,1383.23
2025-26,R 22,22,HC VÍTKOVICE RIDERA,1527.22
2025-26,R 22,22,HC Škoda Plzeň,1529.68
2025-26,R 22,22,Mountfield HK,1527.01
2025-26,R 22,22,Rytíři Kladno,1446.26
2025-26,R 22,22,Č. Budějovice,1536.08
2025-26,R 23,23,BK Mladá Boleslav,1466.15
2025-26,R 23,23,Bílí Tygři Liberec,1511.33
2025-26,R 23,23,HC Dynamo Pardubice,1518.59
2025-26,R 23,23,HC Energie Karlovy Vary,1472.25
2025-26,R 23,23,HC Kometa Brno,1496.44
2025-26,R 23,23,HC Oceláři Třinec,1584.88
2025-26,R 23,23,HC Olomouc,1517.66
2025-26,R 23,23,HC Sparta Praha,1489.69
2025-26,R 23,23,HC VERVA Litvínov,1376.75
2025-26,R 23,23,HC VÍTKOVICE RIDERA,1527.22
2025-26,R 23,23,HC Škoda Plzeň,1529.68
2025-26,R 23,23,Mountfield HK,1541.18
2025-26,R 23,23,Rytíři Kladno,1446.26
2025-26,R 23,23,Č. Budějovice,1521.91
2025-26,R 24,24,BK Mladá Boleslav,1466.15
2025-26,R 24,24,Bílí Tygři Liberec,1511.33
2025-26,R 24,24,HC Dynamo Pardubice,1518.59
2025-26,R 24,24,HC Energie Karlovy Vary,1472.25
2025-26,R 24,24,HC Kometa Brno,1496.44
2025-26,R 24,24,HC Oceláři Třinec,1584.88
2025-26,R 24,24,HC Olomouc,1517.66
2025-26,R 24,24,HC Sparta Praha,1500.77
2025-26,R 24,24,HC VERVA Litvínov,1376.75
2025-26,R 24,24,HC VÍTKOVICE RIDERA,1516.14
2025-26,R 24,24,HC Škoda Plzeň,1529.68
