season,round,round_index,team,elo
2025-26,R 11,11,Presov Hockey a.s.,1409.81
2025-26,R 11,11,"VLCI ŽILINA, a.s.",1557.8
2025-26,R 12,12,HC Košice s.r.o.,1495.72
2025-26,R 12,12,"HC SLOVAN Bratislava, a.s.",1582.63
2025-26,R 12,12,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1552.19
2025-26,R 12,12,"HK Nitra, s.r.o.",1559.72
2025-26,R 12,12,"HK Rysy, s.r.o.",1487.97
2025-26,R 12,12,HKM a.s,1490.85
2025-26,R 12,12,"Hokejový klub DUKLA Trenčín, a.s.",1472.25
2025-26,R 12,12,Hokejový klub Dukla Ingema Michalovce,1458.12
2025-26,R 12,12,Hokejový klub Poprad a.s.,1428.29
2025-26,R 12,12,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1511.21
2025-26,R 12,12,Presov Hockey a.s.,1391.93
2025-26,R 12,12,"VLCI ŽILINA, a.s.",1569.13
2025-26,R 13,13,HC Košice s.r.o.,1514.31
2025-26,R 13,13,"HC SLOVAN Bratislava, a.s.",1590.36
2025-26,R 13,13,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1533.69
2025-26,R 13,13,"HK Nitra, s.r.o.",1569.76
2025-26,R 13,13,"HK Rysy, s.r.o.",1480.24
2025-26,R 13,13,HKM a.s,1483.07
2025-26,R 13,13,"Hokejový klub DUKLA Trenčín, a.s.",1462.2
2025-26,R 13,13,Hokejový klub Dukla Ingema Michalovce,1447.26
2025-26,R 13,13,Hokejový klub Poprad a.s.,1439.14
2025-26,R 13,13,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1492.62
2025-26,R 13,13,Presov Hockey a.s.,1410.42
2025-26,R 13,13,"VLCI ŽILINA, a.s.",1576.92
2025-26,R 14,14,HC Košice s.r.o.,1536.59
2025-26,R 14,14,"HC SLOVAN Bratislava, a.s.",1579.77
2025-26,R 14,14,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1543.45
2025-26,R 14,14,"HK Nitra, s.r.o.",1580.36
2025-26,R 14,14,"HK Rysy, s.r.o.",1466.94
2025-26,R 14,14,HKM a.s,1492.47
2025-26,R 14,14,"Hokejový klub DUKLA Trenčín, a.s.",1452.8
2025-26,R 14,14,Hokejový klub Dukla Ingema Michalovce,1434.62
2025-26,R 14,14,Hokejový klub Poprad a.s.,1419.74
2025-26,R 14,14,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1505.92
2025-26,R 14,14,Presov Hockey a.s.,1403.27
2025-26,R 14,14,"VLCI ŽILINA, a.s.",1584.06
2025-26,R 15,15,HC Košice s.r.o.,1536.59
2025-26,R 15,15,"HC SLOVAN Bratislava, a.s.",1587.31
2025-26,R 15,15,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1534.62
2025-26,R 15,15,"HK Nitra, s.r.o.",1590.94
2025-26,R 15,15,"HK Rysy, s.r.o.",1456.02
2025-26,R 15,15,HKM a.s,1484.93
2025-26,R 15,15,"Hokejový klub DUKLA Trenčín, a.s.",1462.03
2025-26,R 15,15,Hokejový klub Dukla Ingema Michalovce,1445.55
2025-26,R 15,15,Hokejový klub Poprad a.s.,1419.74
2025-26,R 15,15,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1495.34
2025-26,R 15,15,Presov Hockey a.s.,1394.05
2025-26,R 15,15,"VLCI ŽILINA, a.s.",1592.9
2025-26,R 16,16,HC Košice s.r.o.,1544.31
2025-26,R 16,16,"HC SLOVAN Bratislava, a.s.",1592.31
2025-26,R 16,16,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1546.99
2025-26,R 16,16,"HK Nitra, s.r.o.",1572.79
2025-26,R 16,16,"HK Rysy, s.r.o.",1448.29
2025-26,R 16,16,HKM a.s,1495.23
2025-26,R 16,16,"Hokejový klub DUKLA Trenčín, a.s.",1449.65
2025-26,R 16,16,Hokejový klub Dukla Ingema Michalovce,1463.69
2025-26,R 16,16,Hokejový klub Poprad a.s.,1438.51
2025-26,R 16,16,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1485.04
2025-26,R 16,16,Presov Hockey a.s.,1389.05
2025-26,R 16,16,"VLCI ŽILINA, a.s.",1574.12
2025-26,R 17,17,HC Košice s.r.o.,1528.07
2025-26,R 17,17,"HC SLOVAN Bratislava, a.s.",1601.01
2025-26,R 17,17,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1538.29
2025-26,R 17,17,"HK Nitra, s.r.o.",1589.03
2025-26,R 17,17,"HK Rysy, s.r.o.",1458.92
2025-26,R 17,17,HKM a.s,1509.66
2025-26,R 17,17,"Hokejový klub DUKLA Trenčín, a.s.",1443.09
2025-26,R 17,17,Hokejový klub Dukla Ingema Michalovce,1449.26
2025-26,R 17,17,Hokejový klub Poprad a.s.,1427.88
2025-26,R 17,17,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1472.34
2025-26,R 17,17,Presov Hockey a.s.,1401.75
2025-26,R 17,17,"VLCI ŽILINA, a.s.",1580.69
2025-26,R 18,18,HC Košice s.r.o.,1517.54
2025-26,R 18,18,"HC SLOVAN Bratislava, a.s.",1601.01
2025-26,R 18,18,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1546.41
2025-26,R 18,18,"HK Nitra, s.r.o.",1595.69
2025-26,R 18,18,"HK Rysy, s.r.o.",1452.26
2025-26,R 18,18,HKM a.s,1520.19
2025-26,R 18,18,"Hokejový klub DUKLA Trenčín, a.s.",1426.41
2025-26,R 18,18,Hokejový klub Dukla Ingema Michalovce,1437.9
2025-26,R 18,18,Hokejový klub Poprad a.s.,1444.57
2025-26,R 18,18,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1464.22
2025-26,R 18,18,Presov Hockey a.s.,1413.11
2025-26,R 18,18,"VLCI ŽILINA, a.s.",1580.69
2025-26,R 19,19,HC Košice s.r.o.,1529.65
2025-26,R 19,19,"HC SLOVAN Bratislava, a.s.",1582.21
