source,league,league_label,game_url,match_date,home_team,away_team,home_score,away_score,status,bookmaker,outcome_type,european_odds,fetched_at
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#nLVVlOhS,2026-03-29,Adler Mannheim,Bremerhaven,5,1,final,OddsPortal Avg,home,1.71,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#nLVVlOhS,2026-03-29,Adler Mannheim,Bremerhaven,5,1,final,OddsPortal Avg,draw,4.89,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#nLVVlOhS,2026-03-29,Adler Mannheim,Bremerhaven,5,1,final,OddsPortal Avg,away,4.50,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#YRdUIEDs,2026-03-29,Schwenninger,Kolner,2,4,final,OddsPortal Avg,home,3.38,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#YRdUIEDs,2026-03-29,Schwenninger,Kolner,2,4,final,OddsPortal Avg,draw,4.50,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#YRdUIEDs,2026-03-29,Schwenninger,Kolner,2,4,final,OddsPortal Avg,away,2.04,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#dp81AfYP,2026-03-29,Straubing Tigers,Eisbaren Berlin,2,4,final,OddsPortal Avg,home,2.52,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#dp81AfYP,2026-03-29,Straubing Tigers,Eisbaren Berlin,2,4,final,OddsPortal Avg,draw,4.20,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#dp81AfYP,2026-03-29,Straubing Tigers,Eisbaren Berlin,2,4,final,OddsPortal Avg,away,2.52,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#E7XNjpOF,2026-03-27,Bremerhaven,Adler Mannheim,4,5,final_ot,OddsPortal Avg,home,3.37,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#E7XNjpOF,2026-03-27,Bremerhaven,Adler Mannheim,4,5,final_ot,OddsPortal Avg,draw,4.30,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#E7XNjpOF,2026-03-27,Bremerhaven,Adler Mannheim,4,5,final_ot,OddsPortal Avg,away,2.05,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#4x6GnitJ,2026-03-27,Eisbaren Berlin,Straubing Tigers,2,1,final,OddsPortal Avg,home,1.92,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#4x6GnitJ,2026-03-27,Eisbaren Berlin,Straubing Tigers,2,1,final,OddsPortal Avg,draw,4.53,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#4x6GnitJ,2026-03-27,Eisbaren Berlin,Straubing Tigers,2,1,final,OddsPortal Avg,away,3.65,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#K2FMcHlK,2026-03-27,ERC Ingolstadt,Munchen,1,6,final,OddsPortal Avg,home,2.37,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#K2FMcHlK,2026-03-27,ERC Ingolstadt,Munchen,1,6,final,OddsPortal Avg,draw,4.21,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#K2FMcHlK,2026-03-27,ERC Ingolstadt,Munchen,1,6,final,OddsPortal Avg,away,2.72,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#2q6bOzjK,2026-03-27,Kolner,Schwenninger,4,2,final,OddsPortal Avg,home,1.64,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#2q6bOzjK,2026-03-27,Kolner,Schwenninger,4,2,final,OddsPortal Avg,draw,5.40,2026-04-07T13:57:39.943163+00:00
