game_id,date,home_team,away_team,score,away_abbr,away_faceoffs,away_hits,away_pim,away_score,away_shots,home_abbr,home_faceoffs,home_hits,home_pim,home_score,home_shots,is_overtime,is_shootout,period_scores
2921889,2025-10-28,HC Dynamo Pardubice,HC Škoda Plzeň,1:3,PLZ,33,4,15,3,19,PCE,25,8,13,1,23,0,0,"0:1, 0:1, 1:1"
2921893,2025-10-28,HC Kometa Brno,Mountfield HK,1:2,MHK,23,0,8,2,22,KOM,30,5,4,1,18,0,0,"1:0, 0:0, 0:2"
2921894,2025-10-28,HC Oceláři Třinec,Č. Budějovice,6:3,CEB,31,4,20,3,25,TRI,29,2,4,6,23,0,0,"3:2, 3:0, 0:1"
2921890,2025-10-29,HC VÍTKOVICE RIDERA,HC Sparta Praha,1:4,SPA,36,5,6,4,35,VIT,20,4,4,1,22,0,0,"0:1, 0:1, 1:2"
2921899,2025-10-31,HC Škoda Plzeň,HC Kometa Brno,4:3,KOM,29,6,6,3,19,PLZ,32,6,8,4,34,0,0,"0:1, 2:0, 1:2 - 0:0 - 1:0"
2921900,2025-10-31,Č. Budějovice,HC Energie Karlovy Vary,3:2,KVA,25,6,4,2,23,CEB,22,7,6,3,27,0,0,"1:0, 1:1, 1:1"
2921901,2025-10-31,BK Mladá Boleslav,HC VERVA Litvínov,3:2,LIT,19,1,8,2,32,MBL,23,2,6,3,29,0,0,"0:0, 1:0, 2:2"
2921896,2025-10-31,HC Olomouc,HC Sparta Praha,1:4,SPA,29,5,4,4,43,OLO,24,5,6,1,16,0,0,"0:2, 1:1, 0:1"
2921897,2025-10-31,Bílí Tygři Liberec,HC VÍTKOVICE RIDERA,2:3,VIT,36,5,12,3,22,LIB,44,10,33,2,41,0,0,"1:0, 1:2, 0:1"
2921898,2025-10-31,HC Dynamo Pardubice,Rytíři Kladno,8:3,KLA,28,1,16,3,28,PCE,48,7,22,8,44,0,0,"4:1, 3:1, 1:1"
2921902,2025-10-31,Mountfield HK,HC Oceláři Třinec,4:1,TRI,37,4,6,1,17,MHK,27,2,6,4,30,0,0,"1:0, 2:1, 1:0"
2921909,2025-11-02,HC Oceláři Třinec,HC Dynamo Pardubice,2:4,PCE,27,4,14,4,21,TRI,41,3,4,2,25,0,0,"1:1, 1:1, 0:2"
2921905,2025-11-02,HC VERVA Litvínov,Mountfield HK,1:3,MHK,24,5,12,3,33,LIT,26,9,16,1,22,0,0,"0:2, 1:0, 0:1"
2921903,2025-11-02,HC Sparta Praha,BK Mladá Boleslav,2:0,MBL,26,4,4,0,24,SPA,25,5,2,2,35,0,0,"1:0, 0:0, 1:0"
2921904,2025-11-02,Rytíři Kladno,HC Škoda Plzeň,1:2,PLZ,28,4,10,2,25,KLA,29,6,4,1,35,0,0,"0:1, 0:1, 1:0"
2921906,2025-11-02,HC VÍTKOVICE RIDERA,HC Olomouc,2:3,OLO,35,2,12,3,28,VIT,27,4,35,2,29,0,0,"1:1, 0:1, 1:1"
2921908,2025-11-02,HC Kometa Brno,Č. Budějovice,4:3,CEB,39,1,12,3,26,KOM,30,5,4,4,47,0,0,"0:2, 2:1, 1:0 - 1:0"
2922003,2025-11-09,HC Sparta Praha,Bílí Tygři Liberec,4:3,LIB,34,2,6,3,30,SPA,28,3,8,4,21,0,0,"1:2, 2:0, 0:1 - 1:0"
2921922,2025-11-12,HC VÍTKOVICE RIDERA,Č. Budějovice,4:2,CEB,37,6,6,2,27,VIT,29,5,4,4,26,0,0,"0:0, 1:2, 3:0"
2921928,2025-11-12,Bílí Tygři Liberec,HC Olomouc,4:2,OLO,28,4,35,2,22,LIB,41,3,8,4,50,0,0,"2:2, 1:0, 1:0"
2921913,2025-11-14,BK Mladá Boleslav,HC Olomouc,4:1,OLO,23,0,6,1,20,MBL,38,8,8,4,32,0,0,"0:1, 3:0, 1:0"
2921916,2025-11-14,Č. Budějovice,HC VERVA Litvínov,2:3,LIT,24,3,10,3,28,CEB,31,2,8,2,37,0,0,"1:0, 1:1, 0:1 - 0:1"
2921910,2025-11-14,Rytíři Kladno,HC Oceláři Třinec,5:3,TRI,33,6,10,3,21,KLA,30,7,4,5,36,0,0,"2:2, 1:1, 2:0"
2921911,2025-11-14,Mountfield HK,HC VÍTKOVICE RIDERA,3:0,VIT,30,4,10,0,13,MHK,32,3,10,3,36,0,0,"0:0, 1:0, 2:0"
2921912,2025-11-14,Bílí Tygři Liberec,HC Sparta Praha,3:0,SPA,25,5,12,0,17,LIB,35,4,8,3,31,0,0,"1:0, 2:0, 0:0"
2921915,2025-11-14,HC Energie Karlovy Vary,HC Škoda Plzeň,4:2,PLZ,22,7,33,2,39,KVA,30,5,10,4,19,0,0,"1:0, 1:0, 2:2"
2921919,2025-11-16,HC VERVA Litvínov,HC Dynamo Pardubice,1:4,PCE,40,11,12,4,42,LIT,23,4,8,1,27,0,0,"1:0, 0:0, 0:4"
2921920,2025-11-16,HC Energie Karlovy Vary,Rytíři Kladno,1:5,KLA,22,3,12,5,14,KVA,37,10,8,1,33,0,0,"0:2, 1:1, 0:2"
2921921,2025-11-16,BK Mladá Boleslav,Bílí Tygři Liberec,2:0,LIB,28,5,12,0,27,MBL,27,7,10,2,25,0,0,"1:0, 0:0, 1:0"
2921917,2025-11-16,HC Škoda Plzeň,HC Sparta Praha,5:6,SPA,30,9,31,6,27,PLZ,34,10,6,5,31,0,0,"1:3, 2:1, 2:2"
2921923,2025-11-16,HC Kometa Brno,HC Oceláři Třinec,4:3,TRI,42,2,10,3,32,KOM,29,5,4,4,41,0,0,"1:0, 2:2, 1:1"
2921918,2025-11-17,HC Olomouc,Mountfield HK,1:7,MHK,22,7,14,7,37,OLO,36,9,8,1,33,0,0,"1:2, 0:2, 0:3"
2921927,2025-11-20,HC Škoda Plzeň,HC VERVA Litvínov,7:2,LIT,15,4,8,2,15,PLZ,33,2,2,7,32,0,0,"1:1, 4:0, 2:1"
2921930,2025-11-20,HC VÍTKOVICE RIDERA,HC Oceláři Třinec,3:2,TRI,27,11,4,2,35,VIT,42,3,4,3,25,0,0,"1:1, 1:0, 1:1"
2921926,2025-11-20,HC Dynamo Pardubice,HC Energie Karlovy Vary,4:1,KVA,17,14,8,1,22,PCE,32,4,33,4,26,0,0,"3:0, 0:0, 1:1"
2921924,2025-11-21,Č. Budějovice,BK Mladá Boleslav,4:3,MBL,26,6,6,3,30,CEB,33,9,6,4,32,0,0,"1:2, 1:1, 1:0 - 0:0 - 1:0"
2921925,2025-11-21,Rytíři Kladno,HC Kometa Brno,1:4,KOM,39,2,6,4,42,KLA,23,6,4,1,22,0,0,"1:1, 0:1, 0:2"
2921929,2025-11-21,Mountfield HK,HC Sparta Praha,1:4,SPA,28,4,14,4,25,MHK,33,4,8,1,31,0,0,"0:0, 0:2, 1:2"
2921932,2025-11-23,BK Mladá Boleslav,HC Škoda Plzeň,2:1,PLZ,23,9,6,1,25,MBL,33,7,4,2,19,0,0,"2:0, 0:0, 0:1"
2921933,2025-11-23,Bílí Tygři Liberec,Mountfield HK,3:2,MHK,39,3,10,2,27,LIB,35,6,2,3,35,0,0,"2:0, 0:2, 1:0"
2921934,2025-11-23,HC VÍTKOVICE RIDERA,HC Dynamo Pardubice,3:2,PCE,33,3,15,2,36,VIT,30,2,15,3,14,0,0,"1:0, 1:1, 1:1"
2921935,2025-11-23,Rytíři Kladno,HC Sparta Praha,3:7,SPA,30,3,14,7,27,KLA,24,7,6,3,22,0,0,"0:3, 2:3, 1:1"
2921937,2025-11-23,HC Energie Karlovy Vary,HC Kometa Brno,3:2,KOM,25,6,10,2,16,KVA,28,2,6,3,38,0,0,"0:1, 1:0, 2:1"
2921936,2025-11-23,HC VERVA Litvínov,HC Oceláři Třinec,5:2,TRI,39,6,16,2,46,LIT,24,3,39,5,24,0,0,"2:1, 3:1, 0:0"
2921931,2025-11-23,HC Olomouc,Č. Budějovice,1:2,CEB,31,8,8,2,33,OLO,35,4,6,1,25,0,0,"1:1, 0:0, 0:0 - 0:1"
2921944,2025-11-25,HC Energie Karlovy Vary,HC Oceláři Třinec,2:1,TRI,30,3,8,1,26,KVA,36,5,10,2,24,0,0,"0:0, 2:0, 0:1"
2921938,2025-11-25,HC Dynamo Pardubice,HC Sparta Praha,1:2,SPA,27,13,13,2,19,PCE,30,17,13,1,37,0,0,"0:0, 0:1, 1:0 - 0:1"
2921940,2025-11-25,Rytíři Kladno,HC VERVA Litvínov,2:1,LIT,30,10,6,1,38,KLA,28,9,4,2,32,0,0,"0:0, 0:1, 1:0 - 0:0 - 1:0"
2921941,2025-11-25,HC Kometa Brno,HC Olomouc,1:2,OLO,19,4,35,2,13,KOM,36,13,8,1,34,0,0,"0:1, 0:1, 1:0"
2921942,2025-11-25,Mountfield HK,BK Mladá Boleslav,0:1,MBL,25,8,13,1,13,MHK,23,6,15,0,23,0,0,"0:0, 0:0, 0:0 - 0:0 - 0:1"
2921943,2025-11-25,Bílí Tygři Liberec,Č. Budějovice,5:2,CEB,24,9,6,2,30,LIB,32,2,4,5,34,0,0,"2:0, 1:0, 2:2"
