season,round,round_index,team,elo
2025-26,R 13,13,HC Ajoie,1436.7
2025-26,R 13,13,HC Ambri-Piotta,1428.47
2025-26,R 13,13,HC Davos,1586.56
2025-26,R 13,13,HC Lugano,1463.77
2025-26,R 13,13,Lausanne HC,1571.54
2025-26,R 13,13,SC Bern,1467.99
2025-26,R 13,13,SC Rapperswil-Jona Lakers,1500.04
2025-26,R 13,13,SCL Tigers,1477.49
2025-26,R 13,13,SCRJ Lakers,1536.67
2025-26,R 13,13,ZSC Lions,1505.46
2025-26,R 14,14,EHC Biel-Bienne,1482.01
2025-26,R 14,14,EHC Kloten,1480.15
2025-26,R 14,14,EV Zug,1506.62
2025-26,R 14,14,Fribourg-Gottéron,1549.29
2025-26,R 14,14,Genève-Servette HC,1518.44
2025-26,R 14,14,HC Ajoie,1430.4
2025-26,R 14,14,HC Ambri-Piotta,1439.48
2025-26,R 14,14,HC Davos,1579.12
2025-26,R 14,14,HC Lugano,1452.75
2025-26,R 14,14,Lausanne HC,1577.84
2025-26,R 14,14,SC Bern,1455.43
2025-26,R 14,14,SC Rapperswil-Jona Lakers,1507.48
2025-26,R 14,14,SCL Tigers,1468.41
2025-26,R 14,14,SCRJ Lakers,1536.67
2025-26,R 14,14,ZSC Lions,1515.91
2025-26,R 15,15,EHC Biel-Bienne,1482.01
2025-26,R 15,15,EHC Kloten,1472.89
2025-26,R 15,15,EV Zug,1506.62
2025-26,R 15,15,Fribourg-Gottéron,1549.29
2025-26,R 15,15,Genève-Servette HC,1518.44
2025-26,R 15,15,HC Ajoie,1430.4
2025-26,R 15,15,HC Ambri-Piotta,1439.48
2025-26,R 15,15,HC Davos,1579.12
2025-26,R 15,15,HC Lugano,1452.75
2025-26,R 15,15,Lausanne HC,1585.1
2025-26,R 15,15,SC Bern,1455.43
2025-26,R 15,15,SC Rapperswil-Jona Lakers,1507.48
2025-26,R 15,15,SCL Tigers,1468.41
2025-26,R 15,15,SCRJ Lakers,1536.67
2025-26,R 15,15,ZSC Lions,1515.91
2025-26,R 16,16,EHC Biel-Bienne,1471.75
2025-26,R 16,16,EHC Kloten,1483.15
2025-26,R 16,16,EV Zug,1519.59
2025-26,R 16,16,Fribourg-Gottéron,1538.09
2025-26,R 16,16,Genève-Servette HC,1499.89
2025-26,R 16,16,HC Ajoie,1421.49
2025-26,R 16,16,HC Ambri-Piotta,1439.48
2025-26,R 16,16,HC Davos,1579.12
2025-26,R 16,16,HC Lugano,1471.3
2025-26,R 16,16,Lausanne HC,1572.14
2025-26,R 16,16,SC Bern,1442.46
2025-26,R 16,16,SC Rapperswil-Jona Lakers,1518.67
2025-26,R 16,16,SCL Tigers,1477.32
2025-26,R 16,16,SCRJ Lakers,1536.67
2025-26,R 16,16,ZSC Lions,1528.87
2025-26,R 17,17,EHC Biel-Bienne,1471.75
2025-26,R 17,17,EHC Kloten,1483.15
2025-26,R 17,17,EV Zug,1527.21
2025-26,R 17,17,Fribourg-Gottéron,1528.57
2025-26,R 17,17,Genève-Servette HC,1499.89
2025-26,R 17,17,HC Ajoie,1413.86
2025-26,R 17,17,HC Ambri-Piotta,1431.83
2025-26,R 17,17,HC Davos,1588.64
2025-26,R 17,17,HC Lugano,1471.3
2025-26,R 17,17,Lausanne HC,1560.03
2025-26,R 17,17,SC Bern,1453.46
2025-26,R 17,17,SC Rapperswil-Jona Lakers,1518.67
2025-26,R 17,17,SCL Tigers,1466.32
2025-26,R 17,17,SCRJ Lakers,1544.33
2025-26,R 17,17,ZSC Lions,1540.98
2025-26,R 18,18,EHC Biel-Bienne,1495.2
2025-26,R 18,18,EHC Kloten,1477.81
2025-26,R 18,18,EV Zug,1527.21
2025-26,R 18,18,Fribourg-Gottéron,1528.57
2025-26,R 18,18,Genève-Servette HC,1476.44
2025-26,R 18,18,HC Ajoie,1413.86
2025-26,R 18,18,HC Ambri-Piotta,1425.91
2025-26,R 18,18,HC Davos,1594.56
2025-26,R 18,18,HC Lugano,1476.64
2025-26,R 18,18,Lausanne HC,1560.03
2025-26,R 18,18,SC Bern,1453.46
2025-26,R 18,18,SC Rapperswil-Jona Lakers,1518.67
2025-26,R 18,18,SCL Tigers,1466.32
2025-26,R 18,18,SCRJ Lakers,1544.33
2025-26,R 18,18,ZSC Lions,1540.98
2025-26,R 19,19,EHC Biel-Bienne,1495.2
2025-26,R 19,19,EHC Kloten,1474.26
2025-26,R 19,19,EV Zug,1527.21
2025-26,R 19,19,Fribourg-Gottéron,1532.12
2025-26,R 19,19,Genève-Servette HC,1476.44
2025-26,R 19,19,HC Ajoie,1413.86
2025-26,R 19,19,HC Ambri-Piotta,1425.91
2025-26,R 19,19,HC Davos,1594.56
2025-26,R 19,19,HC Lugano,1476.64
2025-26,R 19,19,Lausanne HC,1560.03
2025-26,R 19,19,SC Bern,1453.46
2025-26,R 19,19,SC Rapperswil-Jona Lakers,1518.67
2025-26,R 19,19,SCL Tigers,1466.32
2025-26,R 19,19,SCRJ Lakers,1544.33
2025-26,R 19,19,ZSC Lions,1540.98
2025-26,R 20,20,EHC Biel-Bienne,1507.04
2025-26,R 20,20,EHC Kloten,1474.26
2025-26,R 20,20,EV Zug,1511.7
2025-26,R 20,20,Fribourg-Gottéron,1532.12
2025-26,R 20,20,Genève-Servette HC,1491.96
2025-26,R 20,20,HC Ajoie,1404.21
